id,points,inhabitants,_100k_inhabitants
0110,28,124547,1.24547
0120,4,90529,0.90529
0130,1,78770,0.7877
0140,3,103158,1.03158
0210,3,40981,0.40981
0220,10,64657,0.64657
0230,6,45780,0.4578
0240,4,53262,0.53262
0250,5,87944,0.87944
0340,3,95353,0.95353
0350,2,57552,0.57552
0360,5,108982,1.08982
0370,7,60900,0.609
0420,2,41112,0.41112
0430,10,109983,1.09983
0440,2,54276,0.54276
0450,7,118483,1.18483
0510,2,113812,1.13812
0610,2,76247,0.76247
0630,1,83753,0.83753
0640,2,69372,0.69372
0710,3,50344,0.50344
0720,2,52923,0.52923
0730,3,47401,0.47401
0740,3,67378,0.67378
0810,8,162548,1.62548
0920,1,75507,0.75507
0940,4,39520,0.3952
1010,1,119584,1.19584
1130,2,79321,0.79321
1140,1,80743,0.80743
1220,1,59919,0.59919
1240,1,57310,0.5731
