id,points,inhabitants,_100k_inhabitants
01100102,4,2034,0.02034
01100103,1,5790,0.0579
01100206,7,1876,0.01876
01100308,2,7297,0.07297
01100309,6,12651,0.12651
01100310,3,10181,0.10181
01100312,1,10727,0.10727
01100415,1,13348,0.13348
01100416,3,13523,0.13523
01200519,1,9592,0.09592
01200522,1,11521,0.11521
01200624,1,6942,0.06942
01200628,1,3281,0.03281
01300732,1,10078,0.10078
01401044,2,10226,0.10226
01401047,1,8206,0.08206
02100101,2,7225,0.07225
02100104,1,5550,0.0555
02200208,2,5745,0.05745
02200209,1,10957,0.10957
02200211,4,14595,0.14595
02200212,1,8340,0.0834
02200213,2,10004,0.10004
02300314,2,7085,0.07085
02300316,1,4160,0.0416
02300417,1,8301,0.08301
02300418,1,7629,0.07629
02300419,1,10396,0.10396
02400521,1,8712,0.08712
02400522,1,11394,0.11394
02400624,2,11887,0.11887
02500726,1,9175,0.09175
02500728,1,10073,0.10073
02500729,1,5407,0.05407
02500834,2,11299,0.11299
03400721,2,11895,0.11895
03400826,1,7222,0.07222
03500934,2,10363,0.10363
03601141,1,7057,0.07057
03601142,1,10860,0.1086
03601243,1,6990,0.0699
03601347,1,9495,0.09495
03601449,1,9928,0.09928
03701554,4,11453,0.11453
03701555,1,7258,0.07258
03701556,2,8598,0.08598
04200310,2,7533,0.07533
04300413,1,9973,0.09973
04300414,1,10581,0.10581
04300416,1,11646,0.11646
04300518,1,6682,0.06682
04300621,3,10941,0.10941
04300622,2,5269,0.05269
04300624,1,9314,0.09314
04400729,1,2840,0.0284
04400833,1,3901,0.03901
04500936,1,5621,0.05621
04500937,1,7653,0.07653
04500938,1,8281,0.08281
04501042,1,3664,0.03664
04501045,1,9363,0.09363
04501146,1,4744,0.04744
04501149,1,9878,0.09878
05100316,2,10505,0.10505
06100103,1,6186,0.06186
06100207,1,8168,0.08168
06300634,1,8285,0.08285
06400737,1,11337,0.11337
06400843,1,4690,0.0469
07100101,1,9794,0.09794
07100102,1,8696,0.08696
07100206,1,8355,0.08355
07200414,2,3778,0.03778
07300515,1,6961,0.06961
07300517,2,10082,0.10082
07400721,1,7639,0.07639
07400825,2,7213,0.07213
08100206,1,9350,0.0935
08100311,2,7076,0.07076
08100312,1,11499,0.11499
08100415,1,6388,0.06388
08100416,3,6577,0.06577
09200510,1,8024,0.08024
09401534,4,7494,0.07494
10100102,1,3680,0.0368
11300618,1,3850,0.0385
11300722,1,10326,0.10326
11400927,1,4173,0.04173
12200515,1,11322,0.11322
12400720,1,8480,0.0848
