id,lat,lon,name,street,zip_code,city,planning_area_id
66917094,52.52392,13.38887,Friedrichstadt-Palast,Friedrichstraße 107,10117.0,Berlin,01100309
66917098,52.52362,13.38862,Quatsch Comedy Club,Friedrichstraße 107,10117.0,Berlin,01100309
66917115,52.52066,13.38850,Kabarett-Theater Distel,Friedrichstraße 101,10117.0,Berlin,01100206
66917188,52.52077,13.38890,Admiralspalast,Friedrichstraße 101,10117.0,Berlin,01100206
79808389,52.50886,13.27075,Die Wühlmäuse,Pommernallee 2-4,14052.0,Berlin,04200310
173985100,52.49911,13.38587,HAU 2 (Hebbel am Ufer),Hallesches Ufer 34,10963.0,Berlin,02100101
229948256,52.52588,13.40160,Sophiensæle,Sophienstraße 18,10178.0,Berlin,01100309
259797763,52.51820,13.43994,Berliner Kriminaltheater,Palisadenstraße 48,10243.0,Berlin,02400521
272406395,52.49866,13.30227,Schaubühne am Lehniner Platz,Kurfürstendamm 153,10709.0,Berlin,04500938
272807733,52.49768,13.44297,Ratibortheater,Cuvrystraße 20a,10997.0,Berlin,02300419
282754671,52.51423,13.47217,Verlängertes Wohnzimmer,Frankfurter Allee 91,10247.0,Berlin,02500729
289404068,52.51214,13.30837,Deutsche Oper Berlin,Bismarckstraße 35,10627.0,Berlin,04300621
290381165,52.51699,13.47720,Theater an der Parkaue,Parkaue 29,10367.0,Berlin,11300722
303027574,52.48811,13.36673,Scheinbar Varieté,Monumentenstraße 9,10829.0,Berlin,07200414
315146496,52.48737,13.38834,Theater Thikwa (F40),Fidicinstraße 40,10965.0,Berlin,02200211
318525456,52.51566,13.38698,Komische Oper Berlin,Behrenstraße 55-57,10117.0,Berlin,01100206
345806623,52.52435,13.38190,Deutsches Theater,Schumannstraße 13a,10117.0,Berlin,01100308
428511003,52.51661,13.46437,TIK: Theater im Kino,,,Berlin,02500728
454167248,52.55838,13.41304,Vineta Theater,,,,03400826
474378383,52.47336,13.32232,Kleines Theater,Südwestkorso 64,12161.0,Berlin,07300515
474801032,52.47756,13.43933,Neuköllner Oper,Karl-Marx-Straße 131-133,12043.0,Berlin,08100416
476027573,52.53990,13.41363,Theater Rambazamba,,,,03701555
510154873,52.53985,13.41072,Volksbühne im Prater,Kastanienallee 7-9,10435.0,Berlin,03701554
545733901,52.51852,13.39549,Theater im Palais,Am Festungsgraben 1,10117.0,Berlin,01100206
549931287,52.46089,13.51300,SpreeLacArt Kulturwerk Schöneweide,,,,09200510
572221430,52.50612,13.32857,Vaganten Bühne,Kantstraße 12a,10623.0,Berlin,04300622
613229739,52.53573,13.39806,Theater Mirakulum,Brunnenstraße 35,10115.0,Berlin,01100416
615148215,52.52404,13.40208,Chamäleon,Rosenthaler Straße 40-41,10178.0,Berlin,01100309
619119805,52.51033,13.32350,Renaissance-Theater Berlin,Knesebeckstraße 100,10623.0,Berlin,04300624
695831689,52.48943,13.31220,Theater Coupé,Hohenzollerndamm 177,10713.0,Berlin,04501146
735151601,52.49364,13.38769,BKA-Theater,Mehringdamm 34,10961.0,Berlin,02200208
873444364,52.50200,13.42132,Ballhaus Naunynstraße,Naunynstraße 27,10997.0,Berlin,02300314
873444370,52.50168,13.42082,Hoftheater Kreuzberg,,10997.0,Berlin,02300314
894765631,52.48814,13.36782,AHA-Berlin,Monumentenstraße 13,10829.0,Berlin,07200414
895507273,52.51898,13.39597,Maxim Gorki Theater - Studio,,,,01100206
895509940,52.52968,13.39654,Acker Stadt Palast - Freie Bühne Mitte .eV,Ackerstraße 169/170,,,01100415
899133792,52.56549,13.40143,Zimmer 16,,,,03400721
910361469,52.47702,13.43991,Heimathafen Neukölln,Karl-Marx-Straße 141,12043.0,Berlin,08100416
910725856,52.50437,13.33748,Die Stachelschweine,Tauentzienstraße 9-12,10789.0,Berlin,04501042
945390395,52.53548,13.20250,Theatersaal des Kulturhauses Spandau,,,,05100316
945402693,52.55256,13.43073,BrotfabrikBühne,,13086.0,Berlin,03500934
946790935,52.44193,13.29747,Theater Lichterfelde,Drakestraße 49,12205.0,Berlin,06300634
977686791,52.49181,13.38869,Mehringhof Theater,Gneisenaustraße 2a,10961.0,Berlin,02200211
1096182603,52.51654,13.40783,Theater im Nikolaiviertel,,,,01100310
1154118481,52.46675,13.32130,Zimmertheater Steglitz,Bornstraße 17,12163.0,Berlin,06100103
1158225994,52.54307,13.41497,Ballhaus Ost,Pappelallee 15,10437.0,Berlin,03601347
1175152683,52.49113,13.42498,Wohnzimmerclub,,,,08100311
1187935417,52.51664,13.45084,Theater am Frankfurter Tor,,,,02400522
1226781760,52.51190,13.29550,Zauberlounge,Horstweg 3,14059.0,Berlin,04300414
1246340370,52.48732,13.38810,F40 - English Theatre Berlin,Fidicinstraße 40,10965.0,Berlin,02200211
1246402201,52.52472,13.46519,Das Weite Theater,Storkower Str 207,10369.0,Berlin,11300618
1246402202,52.51181,13.44878,Theater der kleinen Form,Gubener Straße 45,10243.0,Berlin,02400624
1246402203,52.49197,13.36454,Theater O-TonArt,Kulmer Straße 20a,10783.0,Berlin,07100206
1246402205,52.53498,13.41622,Theater o.N.,Kollwitzstraße 53,10405.0,Berlin,03701556
1246402206,52.53181,13.41843,bat-Studiotheater,Belforter Straße 15,10405.0,Berlin,03701556
1246402207,52.49733,13.38568,HAU 3 (Hebbel am Ufer),Tempelhofer Ufer 10,10963.0,Berlin,02200208
1246402211,52.50984,13.32898,UNI.T,Fasanenstraße 1b,10623.0,Berlin,04300622
1256737686,52.49251,13.41626,Kleinkunstkeller,,,,02200213
1263355907,52.54349,13.36330,Prime Time Theater,Müllerstraße 163,13353.0,Berlin,01401047
1289390673,52.48603,13.43195,Die Musenstube,,,,08100312
1303363193,52.48842,13.42776,Theater im Keller,Weserstraße 211,12047.0,Berlin,08100311
1336883756,52.50722,13.37211,Stage Theater am Potsdamer Platz,Marlene-Dietrich-Platz 1,10785.0,Berlin,01100102
1336890158,52.49675,13.42140,Dancetheater LaborGRAS.com,,,,02300417
1445221277,52.52427,13.38139,Kammerspiele,Schumannstraße 14a,10117.0,Berlin,01100308
1457124704,52.51901,13.39507,Maxim-Gorki-Theater,Am Festungsgraben 2,10117.0,Berlin,01100206
1486087544,52.55144,13.41832,BühnenRausch,Erich-Weinert-Straße 27,10439.0,Berlin,03601243
1737242128,52.57136,13.56825,Berliner Tschechow Theater,Märkische Allee 410,12689.0,Berlin,10100102
1739006720,52.49415,13.32670,Theater unterm Turm,,,,04501149
1746712005,52.50331,13.34799,Kleine Nachtrevue,Kurfürstenstraße 116,10787.0,Berlin,07100101
1871854816,52.50160,13.38118,Tempodrom,Möckernstraße 10,10963.0,Berlin,02100101
1945796840,52.52980,13.41000,Cosmic Comedy Club,Schönhauser Allee 184,10119.0,Berlin,03701554
1948871674,52.51829,13.28997,Freie Theateranstalten Berlin,Klausenerplatz 19,14059.0,Berlin,04300413
