id,points,inhabitants,_100k_inhabitants
011002,6,13637,0.13637
011003,42,62233,0.62233
011004,13,32384,0.32384
012005,2,46905,0.46905
012006,12,43624,0.43624
013007,4,38744,0.38744
013008,6,40026,0.40026
014009,6,46542,0.46542
014010,10,56616,0.56616
024005,12,26010,0.2601
024006,4,27252,0.27252
025007,12,31174,0.31174
025008,27,56770,0.5677
032002,28,30231,0.30231
032003,14,18833,0.18833
033005,12,17566,0.17566
034006,10,18885,0.18885
034007,18,39348,0.39348
034008,5,37120,0.3712
035009,21,41559,0.41559
035010,14,15993,0.15993
036011,19,27973,0.27973
036012,14,28115,0.28115
036013,10,22853,0.22853
036014,20,30041,0.30041
037015,13,27309,0.27309
037016,12,33591,0.33591
091004,21,21636,0.21636
092005,24,25664,0.25664
092006,7,14508,0.14508
092007,17,22417,0.22417
092008,15,12918,0.12918
093011,19,8376,0.08376
093012,11,4487,0.04487
094013,19,12925,0.12925
094015,11,7494,0.07494
095017,42,19036,0.19036
095018,6,11138,0.11138
095019,16,12525,0.12525
095020,14,13462,0.13462
101001,9,25148,0.25148
101002,21,52190,0.5219
101003,48,42246,0.42246
102004,19,44060,0.4406
102005,14,23435,0.23435
104009,35,30353,0.30353
111002,8,30968,0.30968
111003,15,28157,0.28157
112004,17,17330,0.1733
112005,28,35756,0.35756
113006,18,34484,0.34484
113007,36,34329,0.34329
114009,2,35831,0.35831
114010,4,16561,0.16561
114011,6,28351,0.28351
115012,8,4899,0.04899
115013,19,31923,0.31923
