id,points,inhabitants,_100k_inhabitants
0110,61,124547,1.24547
0120,14,90529,0.90529
0130,10,78770,0.7877
0140,16,103158,1.03158
0240,16,53262,0.53262
0250,39,87944,0.87944
0320,42,49064,0.49064
0330,12,37751,0.37751
0340,33,95353,0.95353
0350,35,57552,0.57552
0360,63,108982,1.08982
0370,25,60900,0.609
0910,21,66246,0.66246
0920,63,75507,0.75507
0930,30,59802,0.59802
0940,30,39520,0.3952
0950,78,56161,0.56161
1010,78,119584,1.19584
1020,33,93512,0.93512
1040,35,50036,0.50036
1110,23,65576,0.65576
1120,45,53086,0.53086
1130,54,79321,0.79321
1140,12,80743,0.80743
1150,27,36822,0.36822
