id,points,inhabitants,_100k_inhabitants
01100206,6,1876,0.01876
01100308,9,7297,0.07297
01100309,11,12651,0.12651
01100310,20,10181,0.10181
01100311,2,9787,0.09787
01100415,8,13348,0.13348
01100416,5,13523,0.13523
01200520,2,9513,0.09513
01200625,4,6905,0.06905
01200628,8,3281,0.03281
01300733,4,11684,0.11684
01300834,3,14258,0.14258
01300835,3,10821,0.10821
01400938,2,9681,0.09681
01400942,4,8789,0.08789
01401045,5,5531,0.05531
01401048,2,9520,0.0952
01401049,3,6637,0.06637
02400520,6,5904,0.05904
02400521,4,8712,0.08712
02400522,2,11394,0.11394
02400624,2,11887,0.11887
02400625,2,1328,0.01328
02500726,4,9175,0.09175
02500727,4,6519,0.06519
02500728,4,10073,0.10073
02500830,4,4071,0.04071
02500831,6,7857,0.07857
02500832,6,9541,0.09541
02500833,8,10045,0.10045
02500834,3,11299,0.11299
03200205,6,9167,0.09167
03200206,12,6842,0.06842
03200207,10,11799,0.11799
03200308,8,5261,0.05261
03200309,2,5484,0.05484
03200310,4,8088,0.08088
03300516,12,9560,0.0956
03400618,8,4783,0.04783
03400620,2,3506,0.03506
03400723,12,7507,0.07507
03400724,4,8494,0.08494
03400725,2,7645,0.07645
03400826,5,7222,0.07222
03500933,5,7686,0.07686
03500934,6,10363,0.10363
03500935,2,6799,0.06799
03500936,8,10052,0.10052
03501037,3,8487,0.08487
03501038,11,7506,0.07506
03601139,4,4040,0.0404
03601140,2,6016,0.06016
03601141,6,7057,0.07057
03601142,7,10860,0.1086
03601243,5,6990,0.0699
03601244,3,7614,0.07614
03601245,6,13511,0.13511
03601346,6,5888,0.05888
03601347,2,9495,0.09495
03601348,2,7470,0.0747
03601449,6,9928,0.09928
03601450,3,5449,0.05449
03601451,5,6527,0.06527
03601452,6,4746,0.04746
03701554,4,11453,0.11453
03701555,2,7258,0.07258
03701556,7,8598,0.08598
03701657,7,3215,0.03215
03701660,5,12614,0.12614
09100407,8,8670,0.0867
09100408,7,8870,0.0887
09100409,6,4096,0.04096
09200510,11,8024,0.08024
09200511,5,13207,0.13207
09200512,8,4433,0.04433
09200613,7,10704,0.10704
09200715,12,4259,0.04259
09200716,1,8373,0.08373
09200717,4,9785,0.09785
09200819,15,8588,0.08588
09301126,19,8376,0.08376
09301227,6,1852,0.01852
09301228,5,2635,0.02635
09401329,13,11009,0.11009
09401330,6,1916,0.01916
09401534,11,7494,0.07494
09501736,10,4677,0.04677
09501737,32,14359,0.14359
09501838,6,11138,0.11138
09501939,10,6829,0.06829
09501940,4,2759,0.02759
09501941,2,2937,0.02937
09502042,4,4315,0.04315
09502043,10,9147,0.09147
10100102,6,3680,0.0368
10100104,3,7521,0.07521
10100206,3,11809,0.11809
10100208,6,10330,0.1033
10100210,12,10868,0.10868
10100311,22,2670,0.0267
10100312,6,16216,0.16216
10100313,3,4981,0.04981
10100314,6,6455,0.06455
10100315,2,8228,0.08228
10100316,9,3696,0.03696
10200417,3,8063,0.08063
10200418,6,7367,0.07367
10200419,3,4357,0.04357
10200421,3,1757,0.01757
10200422,4,7368,0.07368
10200524,11,11814,0.11814
10200525,3,5380,0.0538
10400939,10,4529,0.04529
10400940,25,5847,0.05847
11100203,2,9394,0.09394
11100204,4,7463,0.07463
11100205,2,6304,0.06304
11100307,6,11702,0.11702
11100308,2,9886,0.09886
11100309,7,6569,0.06569
11200410,9,10413,0.10413
11200411,8,6917,0.06917
11200512,5,3999,0.03999
11200513,8,10466,0.10466
11200514,6,16289,0.16289
11200515,9,5002,0.05002
11300616,4,5992,0.05992
11300617,5,4407,0.04407
11300619,2,8889,0.08889
11300620,7,11346,0.11346
11300721,16,6848,0.06848
11300722,10,10326,0.10326
11300723,2,2581,0.02581
11300725,8,10202,0.10202
11400927,2,4173,0.04173
11401032,4,6292,0.06292
11401137,6,9004,0.09004
11501238,8,4899,0.04899
11501339,2,10574,0.10574
11501340,2,11246,0.11246
11501341,15,10103,0.10103
