id,lat,lon,name,street,zip_code,city,planning_area_id
27446265,52.41042,13.59830,Regattastraße/Sportpromenade,,,,09301126
30302050,52.54671,13.34489,Seestraße/Amrumer Straße,,,,01400942
30303888,52.55377,13.41388,Schönhauser Allee/Bornholmer Straße,,,,03601141
30303894,52.55529,13.40264,Björnsonstraße,,,,03601139
30303950,52.55420,13.41449,Schönhauser Allee/Bornholmer Straße,,,,03601139
30303956,52.55272,13.42380,Stahlheimer Straße/Wisbyer Straße,,,,03601243
30304940,52.55141,13.42951,Prenzlauer Allee/Ostseestraße,,,,03601244
30304944,52.55077,13.43002,Prenzlauer Allee/Ostseestraße,,,,03601245
30304965,52.55667,13.42997,Prenzlauer Promenade/Am Steinberg,,,,03500934
30305102,52.54523,13.42761,S Prenzlauer Allee,,,,03601245
30305106,52.53965,13.42447,Prenzlauer Allee/Danziger Straße,,,,03701657
30305107,52.53875,13.42398,Prenzlauer Allee/Danziger Straße,,,,03701555
30305113,52.53905,13.42472,Prenzlauer Allee/Danziger Straße,,,,03701657
30305114,52.53789,13.42800,Winsstraße,,,,03701657
30305118,52.53743,13.42942,Winsstraße,,,,03701657
30305213,52.56320,13.41278,Masurenstraße,,,,03400826
30554096,52.58180,13.42860,Galenusstraße,,,,03400724
30554100,52.57731,13.42760,S Pankow-Heinersdorf,,,,03400724
30554105,52.57504,13.41925,Mendelstraße,,,,03400723
30554110,52.57116,13.41064,Pankow Kirche,,,,03400723
30558129,52.59633,13.43287,Rosenthaler Straße,,,,03200308
30561497,52.58009,13.39714,Pastor-Niemöller-Platz,,,,03200206
30561525,52.58262,13.39211,Am Iderfenngraben,,,,03200206
30622561,52.37492,13.09199,Magnus-Zeller-Platz,,,,
30622931,52.37468,13.12327,Turmstraße,,,,
30622937,52.37546,13.12951,Johannes-Kepler-Platz,,,,
30623689,52.37456,13.14186,Gaußstraße,,,,
30623714,52.36974,13.14062,Hans-Albers-Straße,,,,
30623716,52.36697,13.13630,Robert-Baberske-Straße,,,,
30623728,52.36498,13.13488,Priesterweg,,,,
30624481,52.55995,13.46023,Pasedagplatz,,,,03501037
30625116,52.55333,13.47603,Sulzfelder Straße,,,,03501038
30625241,52.55318,13.48037,Hansastraße/Buschallee,,,,03501038
30684945,52.55376,13.48058,Hansastraße/Buschallee,,,,03501038
30684954,52.55993,13.49574,Feldtmannstraße,,,,11200410
30684955,52.56137,13.49991,Hansastraße/Malchower Weg,,,,11200410
30684982,52.53510,13.47962,Altenhofer Straße,,,,11200514
30684987,52.53225,13.47670,Landsberger Allee/Weißenseer Weg,,,,11300620
30689860,52.56366,13.50633,Prerower Platz,,,,11100309
30689934,52.56385,13.50461,Prerower Platz,,,,11100308
30689973,52.57016,13.49739,Zingster Straße/Ribnitzer Straße,,,,11100307
30690321,52.56857,13.52031,Prendener Straße,,,,11100204
30690550,52.56613,13.50200,Ahrenshooper Straße,,,,11100308
30691227,52.56985,13.52659,Falkenberg,,,,11100205
30692597,52.55081,13.50917,Gehrenseestraße,,,,11200410
30693019,52.53048,13.46150,Oderbruchstraße,,,,03601450
30694255,52.53391,13.48690,Zechliner Straße,,,,11300721
30694268,52.53439,13.49487,Genslerstraße,,,,11300721
30694279,52.53494,13.50664,Arendsweg,,,,11200515
30694284,52.53573,13.51818,Landsberger Allee/Rhinstraße,,,,11200515
30694289,52.53664,13.52443,Dingelstädter Straße,,,,10100311
30694295,52.53909,13.53412,Gewerbepark Georg Knorr,,,,10100311
30694319,52.54650,13.55736,Freizeitforum Marzahn,,,,10100210
30694331,52.55371,13.56547,Max-Herrmann-Straße,,,,10100208
30694334,52.54721,13.56194,Jan-Petersen-Straße,,,,10100210
30694352,52.55779,13.56826,Wuhletalstraße,,,,10100206
30694375,52.56501,13.57185,Niemegker Straße,,,,10100104
30694376,52.56827,13.57473,Barnimplatz,,,,10100102
30694391,52.57260,13.57417,Ahrensfelde/Stadtgrenze,,,,10100102
30694394,52.54640,13.57276,Landsberger Allee/Blumberger Damm,,,,10100316
30694396,52.54798,13.57871,Brodowiner Ring,,,,10100316
30694741,52.54909,13.58713,Landsberger Chaussee/Zossener Straße,,,,10200417
30694746,52.54546,13.58743,Michendorfer Straße,,,,10200418
30694748,52.54388,13.59898,Zossener Straße/Kastanienallee,,,,10200419
30694767,52.53074,13.62114,Riesaer Straße/Louis-Lewin-Straße,,,,10200524
30694780,52.52937,13.62347,Riesaer Straße,,,,10200525
30694949,52.52547,13.53022,Beilsteiner Straße,,,,10100311
30694953,52.52583,13.52111,Allee der Kosmonauten/Rhinstraße,,,,10100311
30694959,52.52544,13.51963,Allee der Kosmonauten/Rhinstraße,,,,10100311
30694960,52.52943,13.51926,Meeraner Straße,,,,10100311
30694967,52.53624,13.51678,Landsberger Allee/Rhinstraße,,,,11200515
30694968,52.53900,13.51460,Rhinstraße/Plauener Straße,,,,11200515
30695361,52.52546,13.50841,Ev. Krankenhaus KEH,,,,11300721
30695385,52.52661,13.47841,Roederplatz,,,,11300617
30695390,52.52919,13.46266,Karl-Lade-Straße,,,,11300617
30695393,52.52333,13.47954,Möllendorffstraße/Storkower Straße,,,,11300619
30731481,52.52042,13.40424,Spandauer Straße/Marienkirche,,,,01100310
30731497,52.52216,13.41473,U Alexanderplatz,,,,01100310
30731498,52.52499,13.42046,Mollstraße/Otto-Braun-Straße,,,,01100311
30731507,52.52554,13.42027,Mollstraße/Otto-Braun-Straße,,,,02400520
30731508,52.52088,13.41151,S+U Alexanderplatz/Gontardstraße,,,,01100310
30731700,52.52588,13.38736,U Oranienburger Tor,,,,01100308
30732016,52.52851,13.41083,U Rosa-Luxemburg-Platz,,,,01100310
30732068,52.52367,13.41165,S+U Alexanderplatz/Memhardstraße,,,,01100310
30732071,52.52784,13.41651,Mollstraße/Prenzlauer Allee,,,,03701556
30733475,52.53121,13.41952,Prenzlauer Allee/Metzer Straße,,,,03701556
30733478,52.53342,13.42084,Knaackstraße,,,,03701556
30733479,52.53623,13.42250,Marienburger Straße,,,,03701555
30733487,52.54359,13.44165,Thomas-Mann-Straße,,,,03601449
30733493,52.54848,13.45174,Antonplatz,,,,03500936
30733501,52.55167,13.44080,Friesickestraße,,,,03500934
30733522,52.56224,13.43485,Tino-Schwierzina-Straße,,,,03300516
30733524,52.56536,13.43609,Am Wasserturm,,,,03300516
30734427,52.52916,13.44471,Paul-Heyse-Straße,,,,03601452
30734435,52.51963,13.45229,Bersarinplatz,,,,02500726
30734503,52.51223,13.45260,Grünberger Straße/Warschauer Straße,,,,02500833
30736267,52.49716,13.48476,Kosanke-Siedlung,,,,11501238
30736270,52.49314,13.49060,Gustav-Holzmann-Straße,,,,11501238
30736271,52.48813,13.49586,Heizkraftwerk Klingenberg,,,,11501238
30736427,52.48126,13.52513,S Karlshorst,,,,11501341
30736431,52.49276,13.52660,Treskowallee/HTW,,,,11501339
30736442,52.51397,13.51905,S Friedrichsfelde Ost,,,,11401032
31524735,52.45762,13.53947,Weiskopffstraße,,,,09200512
35528193,52.55024,13.35163,U Seestraße,,,,01400942
50808874,52.54571,13.50982,Rhinstraße/Gärtnerstraße,,,,11200411
52776952,52.53990,13.48441,Simon-Bolivar-Straße,,,,11200513
59851047,52.51117,13.60929,S Mahlsdorf,,,,10400939
79408448,52.42429,13.57526,Friedrich-Wolf-Straße,,,,09301126
85897703,52.53806,13.56046,Adersleber Weg,,,,10100314
87018549,52.52323,13.43345,Platz der Vereinten Nationen,,,,02400521
87018550,52.52311,13.42749,Büschingstraße,,,,02400520
91711812,52.54955,13.41385,S+U Schönhauser Allee,,,,03601141
91711823,52.54495,13.41255,Milastraße,,,,03601142
92627145,52.60606,13.41965,Hugenottenplatz,,,,03200308
92627148,52.60724,13.42429,Arnouxstraße,,,,03200310
92627167,52.60173,13.43148,Blankenfelder Straße,,,,03200308
94941339,52.45652,13.56315,Alte Försterei,,,,09501939
94941344,52.45591,13.55860,Spindlersfelder Straße,,,,09501939
94941350,52.45662,13.55010,Nixenstraße,,,,09200512
94941359,52.45757,13.54360,Freizeit- und Erholungszentrum,,,,09200512
94942335,52.45161,13.57104,Bahnhofstraße/Lindenstraße,,,,09501939
94951410,52.44104,13.58618,Pablo-Neruda-Straße,,,,09401534
94951419,52.44434,13.57545,Schloßplatz Köpenick,,,,09401534
94963733,52.44532,13.56203,S Spindlersfeld,,,,09200819
95911874,52.53217,13.61433,Jenaer Straße,,,,10200524
95914718,52.54473,13.59276,Alte Hellersdorfer Straße/Zossener Straße,,,,10200418
95948746,52.43883,13.59207,Krankenhaus Köpenick/Südseite,,,,09401329
96535655,52.53390,13.55267,Allee der Kosmonauten/Poelchaustraße,,,,10100314
96535658,52.52881,13.54904,Boschpoler Straße,,,,10100312
96536154,52.52569,13.53647,S Springpfuhl,,,,10100311
96536918,52.51236,13.49775,S+U Lichtenberg/Siegfriedstraße,,,,11300725
98862012,52.54209,13.56383,Alt-Marzahn,,,,10100313
98865506,52.55020,13.56111,Bürgerpark Marzahn,,,,10100208
98867660,52.57274,13.57482,Ahrensfelde/Stadtgrenze,,,,10100102
98871740,52.53572,13.47212,Hohenschönhauser Straße,,,,11300616
98878581,52.52877,13.45712,S Landsberger Allee,,,,03601450
98878847,52.54072,13.43827,S Greifswalder Straße,,,,03601449
98883766,52.55229,13.48582,Orankestrand,,,,03501038
98884328,52.55086,13.50950,Gehrenseestraße,,,,11200410
100062685,52.50471,13.52020,Alfred-Kowalke-Straße,,,,11401137
103923024,52.54848,13.46710,Gounodstraße,,,,03500936
113639023,52.54880,13.50519,Alt-Hohenschönhausen,,,,11200411
123139240,52.38641,13.63379,Adlergestell/Vetschauer Allee,,,,09301227
123139267,52.39112,13.63493,Lübbenauer Weg,,,,09301227
129255755,52.44084,13.57036,Glienicker Straße,,,,09200819
146866102,52.53845,13.48053,Sandinostraße,,,,11200513
150543903,52.53892,13.60434,Stendaler Straße/Quedlinburger Straße,,,,10200421
169494133,52.60824,13.42930,Navarraplatz,,,,03200310
223676384,52.59454,13.38086,Wiesenwinkel,,,,03400618
223826507,52.55532,13.39099,Grüntaler Straße,,,,01300733
243457847,52.55519,13.51241,Anna-Ebermann-Straße,,,,11200410
243458026,52.55870,13.51454,Arnimstraße,,,,11100309
243458179,52.55991,13.51016,Rüdickenstraße,,,,11100309
243458261,52.56275,13.50370,Prerower Platz,,,,11100309
243460382,52.54425,13.49275,Freienwalder Straße,,,,11200513
243460732,52.53569,13.47388,Hohenschönhauser Straße,,,,11200514
243460915,52.53838,13.47142,Sportforum,,,,11200512
243460954,52.54421,13.46868,Betriebshof Indira-Gandhi-Straße,,,,11200512
243465044,52.57285,13.49533,Zingster Straße,,,,11100307
243465154,52.57236,13.49486,Zingster Straße,,,,11100307
243465657,52.56927,13.52589,Welsestraße,,,,11100203
243830926,52.53518,13.51001,Schalkauer Straße,,,,11200515
