id,points,inhabitants,_100k_inhabitants
011001,3,16293,0.16293
011002,10,13637,0.13637
011003,13,62233,0.62233
011004,1,32384,0.32384
012005,3,46905,0.46905
012006,2,43624,0.43624
013007,2,38744,0.38744
013008,3,40026,0.40026
014009,3,46542,0.46542
014010,4,56616,0.56616
021001,7,40981,0.40981
022002,7,64657,0.64657
023003,2,19454,0.19454
024005,2,26010,0.2601
025007,3,31174,0.31174
025008,1,56770,0.5677
034008,2,37120,0.3712
036011,2,27973,0.27973
037015,1,27309,0.27309
041001,2,19646,0.19646
042002,2,13147,0.13147
042003,3,27965,0.27965
043004,1,42997,0.42997
043005,2,16150,0.1615
043006,5,50836,0.50836
044008,1,34447,0.34447
045009,1,28316,0.28316
045010,8,40669,0.40669
045011,5,49498,0.49498
051003,2,41028,0.41028
053007,3,20008,0.20008
053008,2,13438,0.13438
061001,2,22146,0.22146
064008,7,42708,0.42708
071001,3,26387,0.26387
071002,2,23957,0.23957
072003,3,21247,0.21247
072004,2,31676,0.31676
073005,2,25939,0.25939
074007,1,19307,0.19307
074008,4,32691,0.32691
075010,1,32705,0.32705
075011,1,21059,0.21059
081001,2,33049,0.33049
081002,3,37581,0.37581
081003,2,37805,0.37805
082006,1,21540,0.2154
082007,3,23196,0.23196
083009,2,20234,0.20234
083010,2,18497,0.18497
084012,1,44165,0.44165
102005,3,23435,0.23435
102006,3,26017,0.26017
103007,2,30959,0.30959
104008,1,19683,0.19683
113007,1,34329,0.34329
113008,1,10508,0.10508
114009,1,35831,0.35831
114011,1,28351,0.28351
121001,1,28760,0.2876
121002,3,28322,0.28322
122003,2,28242,0.28242
122004,2,20355,0.20355
122005,2,11322,0.11322
125009,3,32190,0.3219
