id,points,inhabitants,_100k_inhabitants
0110,27,124547,1.24547
0120,5,90529,0.90529
0130,5,78770,0.7877
0140,7,103158,1.03158
0210,7,40981,0.40981
0220,7,64657,0.64657
0230,2,45780,0.4578
0240,2,53262,0.53262
0250,4,87944,0.87944
0340,2,95353,0.95353
0360,2,108982,1.08982
0370,1,60900,0.609
0410,2,19646,0.19646
0420,5,41112,0.41112
0430,8,109983,1.09983
0440,1,54276,0.54276
0450,14,118483,1.18483
0510,2,113812,1.13812
0530,5,33446,0.33446
0610,2,76247,0.76247
0640,7,69372,0.69372
0710,5,50344,0.50344
0720,5,52923,0.52923
0730,2,47401,0.47401
0740,5,67378,0.67378
0750,2,53764,0.53764
0810,7,162548,1.62548
0820,4,74382,0.74382
0830,4,38731,0.38731
0840,1,53827,0.53827
1020,6,93512,0.93512
1030,2,30959,0.30959
1040,1,50036,0.50036
1130,2,79321,0.79321
1140,2,80743,0.80743
1210,4,57082,0.57082
1220,6,59919,0.59919
1250,3,48950,0.4895
