id,points,inhabitants,_100k_inhabitants
01100102,2,2034,0.02034
01100103,1,5790,0.0579
01100205,2,2917,0.02917
01100206,6,1876,0.01876
01100207,2,8844,0.08844
01100308,3,7297,0.07297
01100309,2,12651,0.12651
01100310,4,10181,0.10181
01100311,2,9787,0.09787
01100312,2,10727,0.10727
01100416,1,13523,0.13523
01200517,1,3924,0.03924
01200520,1,9513,0.09513
01200522,1,11521,0.11521
01200628,1,3281,0.03281
01200629,1,6039,0.06039
01300730,1,8060,0.0806
01300733,1,11684,0.11684
01300834,2,14258,0.14258
01300836,1,14947,0.14947
01400937,2,10966,0.10966
01400942,1,8789,0.08789
01401044,1,10226,0.10226
01401046,1,8869,0.08869
01401047,2,8206,0.08206
02100101,1,7225,0.07225
02100102,3,8660,0.0866
02100104,1,5550,0.0555
02100106,2,4813,0.04813
02200207,1,2666,0.02666
02200208,2,5745,0.05745
02200209,1,10957,0.10957
02200210,1,12350,0.1235
02200212,1,8340,0.0834
02200213,1,10004,0.10004
02300315,1,8209,0.08209
02300316,1,4160,0.0416
02400521,1,8712,0.08712
02400522,1,11394,0.11394
02500727,1,6519,0.06519
02500728,1,10073,0.10073
02500729,1,5407,0.05407
02500835,1,8820,0.0882
03400826,2,7222,0.07222
03601141,1,7057,0.07057
03601142,1,10860,0.1086
03701554,1,11453,0.11453
04100101,2,11768,0.11768
04200203,2,1456,0.01456
04200309,1,6895,0.06895
04200310,1,7533,0.07533
04200311,1,7424,0.07424
04300414,1,10581,0.10581
04300517,1,9468,0.09468
04300518,1,6682,0.06682
04300619,1,9007,0.09007
04300621,2,10941,0.10941
04300622,1,5269,0.05269
04300623,1,12187,0.12187
04400835,1,10164,0.10164
04500936,1,5621,0.05621
04501042,4,3664,0.03664
04501043,2,10999,0.10999
04501045,2,9363,0.09363
04501146,1,4744,0.04744
04501148,1,4564,0.04564
04501152,1,6861,0.06861
04501153,2,7563,0.07563
05100316,2,10505,0.10505
05300736,1,3575,0.03575
05300737,2,11913,0.11913
05300840,1,503,0.00503
05300841,1,4605,0.04605
06100101,1,6912,0.06912
06100103,1,6186,0.06186
06400839,1,5370,0.0537
06400840,1,7080,0.0708
06400842,1,4773,0.04773
06400844,4,7263,0.07263
07100101,2,9794,0.09794
07100102,1,8696,0.08696
07100205,1,5177,0.05177
07100206,1,8355,0.08355
07200307,1,10549,0.10549
07200308,2,10698,0.10698
07200409,1,9300,0.093
07200411,1,2741,0.02741
07300516,1,8896,0.08896
07300517,1,10082,0.10082
07400721,1,7639,0.07639
07400824,3,7387,0.07387
07400825,1,7213,0.07213
07501030,1,8753,0.08753
07501133,1,8254,0.08254
08100104,1,6699,0.06699
08100105,1,6338,0.06338
08100206,1,9350,0.0935
08100207,1,7442,0.07442
08100209,1,8834,0.08834
08100314,2,7930,0.0793
08200622,1,5860,0.0586
08200726,1,6109,0.06109
08200727,2,8115,0.08115
08300934,1,12623,0.12623
08300935,1,7611,0.07611
08301037,2,11049,0.11049
08401244,1,7315,0.07315
10200524,3,11814,0.11814
10200628,2,6514,0.06514
10200630,1,6627,0.06627
10300733,1,5190,0.0519
10300734,1,10606,0.10606
10400836,1,3981,0.03981
11300724,1,4372,0.04372
11300826,1,10508,0.10508
11400931,1,7064,0.07064
11401137,1,9004,0.09004
12100103,1,7592,0.07592
12100204,1,9554,0.09554
12100205,1,13988,0.13988
12100206,1,4780,0.0478
12200309,1,11286,0.11286
12200310,1,8284,0.08284
12200411,1,294,0.00294
12200412,1,6518,0.06518
12200515,2,11322,0.11322
12500926,2,5181,0.05181
12500930,1,9873,0.09873
