id,points,inhabitants,_100k_inhabitants
01100206,8,1876,0.01876
01100207,1,8844,0.08844
01100309,1,12651,0.12651
01300835,2,10821,0.10821
01401048,1,9520,0.0952
02100101,2,7225,0.07225
03200206,1,6842,0.06842
03701555,1,7258,0.07258
04300620,1,4118,0.04118
04300624,1,9314,0.09314
04501042,1,3664,0.03664
06100101,2,6912,0.06912
06400843,3,4690,0.0469
06400844,4,7263,0.07263
08100415,1,6388,0.06388
09100408,1,8870,0.0887
09200510,1,8024,0.08024
09200511,1,13207,0.13207
09200715,2,4259,0.04259
11300721,1,6848,0.06848
12200515,1,11322,0.11322
