id,lat,lon,name,street,zip_code,city,planning_area_id
278540049,52.55371,13.35961,Forum Seestraße der BHT,Seestraße 64,13347.0,Berlin,01401048
516359399,52.51161,13.31499,bbw Hochschule,Wagner-Régeny-Str. 21,12489.0,Berlin,04300624
892568035,52.51285,13.38927,Hertie School,Friedrichstraße 180,10117.0,Berlin,01100206
1425160484,52.46095,13.29393,FB Veterinärmedizin,Koserstraße 20,14195.0,Berlin,06400844
1425160485,52.46160,13.29378,FB Geschichts- und Kulturwissenschaften,Koserstraße 20,14195.0,Berlin,06400844
1425160486,52.46128,13.29420,FB Geschichts- und Kulturwissenschaften,Koserstraße 20,14195.0,Berlin,06400844
1552071417,52.52422,13.39228,Paritätische Akademie Berlin gGmbH,Tucholskystraße 11,10117.0,Berlin,01100309
1590332395,52.51642,13.40327,Hochschule für Musik Hanns Eisler Berlin,,,,01100207
1632937492,52.45724,13.52693,"HTW Berlin, Campus Wilhelminenhof, Geb. C (Computermuseum)",Wilhelminenhofstraße 75 A,12459.0,Berlin,09200511
1701292971,52.47983,13.43943,CODE University of Applied Sciences,Donaustraße 44,12043.0,Berlin,08100415
2175035189,52.50609,13.37873,Hochschule für Angewandte Wissenschaften Europa,Dessauer Straße 3-5,10963.0,Berlin,02100101
2820026576,52.43180,13.53383,Institut für Psychologie (HU),Rudower Chaussee 18,12489.0,Berlin,09200715
3417573998,52.46123,13.29455,FB Veterinärmedizin,Koserstraße 20,14195.0,Berlin,06400844
3428289482,52.44828,13.27733,CeDiS,Garystraße 35-39,14195.0,Berlin,06400843
3459210437,52.45232,13.29173,Technische Abteilung - Referat III D,Habelschwerdter Allee 45,14195.0,Berlin,06400843
4007032901,52.54075,13.38607,TU Berlin Fachgebiet Kraftfahrzeuge,,13355.0,Berlin,01300835
4007032904,52.54097,13.38521,TU Berlin Institut für Bauingenieurwesen,Gustav-Meyer-Allee 25,13355.0,Berlin,01300835
4198545324,52.51212,13.38771,Großbritannien-Zentrum,Anton-Wilhelm-Amo-Straße 60,10117.0,Berlin,01100206
4752986351,52.52030,13.39398,Institut für Kulturwissenschaft,Georgenstraße 47,10117.0,Berlin,01100206
4868588243,52.52025,13.39406,Zentrum für Transdisziplinäre Geschlechterforschung,Georgenstraße 47,10117.0,Berlin,01100206
4868588244,52.52030,13.39416,Fachgebiet Medienwissenschaft,Georgenstraße 47,10117.0,Berlin,01100206
4868588245,52.52035,13.39407,Institut für Kunst- und Bildgeschichte,Georgenstraße 47,10117.0,Berlin,01100206
5374911182,52.51261,13.39534,HU-Institut für Europäische Ethnologie,,,,01100206
5761214192,52.50622,13.37857,Akademie für Gestaltung,Dessauer Straße 3-5,10963.0,Berlin,02100101
5901612622,52.52373,13.48605,DHGS Deutsche Hochschule für Gesundheit und Sport,Vulkanstraße 1,10367.0,Berlin,11300721
6884243546,52.38884,13.11979,XU Exponential University of Applied Sciences,August-Bebel-Straße 26-53,14482.0,Potsdam,
6985071469,52.44242,13.50744,Bronzegießerei Johannisthal,Köpenicker Straße 10,12487.0,Berlin,09100408
7298859535,52.47893,13.50030,Catalyst Institute For Creative Arts & Technology,,,,09200510
9290844955,52.51595,13.32799,Berlin International University of Applied Sciences,Salzufer 6,10587.0,Berlin,04300620
9293478134,52.45706,13.29449,E-Examination Center 2,Takustraße 39,14195.0,Berlin,06400843
9710759321,52.58192,13.28807,German University in Cairo,Am Borsigturm 162,13507.0,Berlin,12200515
9775768261,52.53858,13.41339,New York University,Schönhauser Allee 36,10435.0,Berlin,03701555
10023532185,52.51261,13.39542,Sonderforschungsbereich 1412 „Register“,Anton-Wilhelm-Amo-Straße 40/41,10117.0,Berlin,01100206
10168302540,52.43205,13.53435,Geographisches Institut,Rudower Chaussee 16,12489.0,Berlin,09200715
10606145962,52.57527,13.39940,Humanistische Hochschule Berlin,,,,03200206
11025773384,52.50419,13.33012,FernUniversität in Hagen – Campus Berlin,Kurfürstendamm 21,10719.0,Berlin,04501042
11382127629,52.45697,13.31599,Fachgebiet Pflanzenökologie,Rothenburgstraße 12,12165.0,Berlin,06100101
12618088876,52.45707,13.31535,Fachgebiet Klimatologie,Schmidt-Ott-Straße 12,12165.0,Berlin,06100101
