id,offices,coworking-spaces,supermarkets,grocery-stores,convenience-stores,schools,kindergartens,childcare,libraries,doctors,pharmacies,clinics,sport-centers,fitness-centers,art-galleries,theaters,museums,cinemas,cafes,restaurants,marketplaces,bars,pubs,beer-gardens,fast-food-restaurants,food-courts,ice-cream-parlours,nightclubs,post-offices,police-stations,fire-stations,bus-stops,bicycle-rentals,car-sharing-stations,community-centers,places-of-worship,parks
01100101,19,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01100102,35,0,1,0,2,0,0,0,2,0,1,0,0,2,114,4,2,3,20,29,0,3,1,0,12,0,5,1,0,0,0,0,12,0,0,0,1
01100103,10,0,2,0,0,1,4,0,1,1,0,0,1,0,8,1,1,0,4,13,0,5,2,0,7,0,0,1,0,0,0,0,1,0,3,1,0
01100104,10,0,0,0,3,1,1,0,0,0,1,0,0,0,3,0,0,0,7,10,0,3,0,0,3,0,1,1,0,0,0,0,2,0,1,0,0
01100205,30,0,4,0,1,0,0,0,0,1,2,1,1,1,9,0,5,0,15,27,0,0,1,0,20,0,1,0,0,0,0,0,2,0,0,0,0
01100206,104,1,3,0,2,1,2,0,6,4,4,2,1,3,82,7,11,1,36,70,1,5,1,0,18,0,0,1,1,0,0,0,2,0,1,2,0
01100207,64,1,4,0,1,0,3,0,1,6,2,0,1,1,7,0,4,0,15,35,0,2,0,0,11,0,1,2,1,0,0,0,3,0,0,0,0
01100308,86,1,3,0,5,1,4,0,3,6,2,2,1,3,18,2,3,0,25,50,0,6,3,1,8,0,1,1,2,0,0,0,6,1,1,1,0
01100309,62,1,6,1,13,2,4,1,2,6,3,0,3,5,14,6,7,2,57,114,1,25,9,0,25,0,7,4,0,0,1,0,6,1,3,0,0
01100310,71,0,8,0,8,0,3,0,0,1,6,0,1,6,46,3,8,2,34,85,0,10,9,0,46,0,3,8,1,1,1,0,9,0,3,0,0
01100311,14,1,4,0,3,0,0,1,0,0,1,0,0,2,4,0,0,0,3,7,0,2,0,0,2,1,0,2,0,0,0,0,4,1,1,0,0
01100312,27,0,3,0,6,0,1,0,1,0,1,0,0,0,15,1,1,0,13,22,0,0,1,0,3,0,0,0,0,0,0,0,3,0,4,1,0
01100313,20,0,3,0,2,1,2,0,0,1,1,0,1,0,0,0,0,1,5,15,0,1,0,1,7,0,0,6,3,0,0,0,0,0,1,0,0
01100414,11,0,1,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,3,13,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01100415,35,0,6,0,7,2,2,1,2,5,4,1,1,3,2,1,0,1,33,50,0,16,7,0,13,0,4,1,0,0,0,0,4,0,2,0,0
01100416,23,0,4,0,9,2,7,0,0,5,3,0,2,2,3,3,1,1,28,34,3,9,7,0,8,0,4,3,0,0,0,0,6,0,2,2,0
01200517,23,0,1,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,2,6,0,2,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0
01200518,10,0,2,0,3,0,3,1,1,0,0,0,1,0,0,0,0,0,2,9,0,1,2,0,8,0,2,0,1,0,0,0,1,0,0,0,0
01200519,12,0,3,0,4,0,10,1,0,1,2,0,0,1,0,1,0,0,11,8,0,6,6,0,10,0,0,0,0,0,0,0,3,0,2,0,0
01200520,9,0,4,0,7,0,1,0,0,2,2,0,0,1,5,0,1,0,9,19,0,5,5,0,14,0,1,0,1,0,0,0,1,0,2,1,0
01200521,4,0,2,0,5,0,2,0,0,4,2,0,0,1,0,0,0,0,4,14,0,1,3,0,14,0,0,0,0,0,0,0,1,0,1,1,0
01200522,16,0,4,0,5,0,7,0,1,5,2,0,0,1,1,1,1,0,5,13,1,2,1,0,5,0,0,0,0,0,2,0,4,0,1,0,0
01200623,15,0,4,0,5,0,5,0,1,1,1,0,0,0,1,0,0,0,4,7,0,3,3,0,3,0,1,0,0,1,0,0,2,0,3,2,0
01200624,16,0,3,0,2,0,1,0,0,0,0,0,0,2,3,1,2,2,7,12,0,1,1,0,6,0,0,2,0,0,0,0,0,0,1,1,0
01200625,8,0,3,0,4,0,5,0,0,0,2,1,0,0,0,0,0,0,7,8,0,1,1,0,6,0,1,0,0,0,0,0,3,0,1,0,0
01200626,22,0,2,0,2,2,3,0,0,3,2,1,1,2,6,0,0,0,7,15,0,2,3,1,5,0,0,0,1,0,0,0,2,0,2,0,0
01200628,13,0,2,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,9,8,0,0,0,0,7,1,1,0,0,1,0,0,4,0,0,0,0
01200629,8,0,0,0,1,0,1,0,1,3,1,0,0,0,11,0,1,0,3,3,1,0,1,1,1,0,1,0,1,0,0,0,3,0,0,0,0
01300730,26,2,3,0,9,0,1,1,0,3,1,0,0,0,0,0,0,1,7,4,0,4,5,0,10,0,0,0,0,0,0,0,1,0,4,4,0
01300731,8,0,1,0,7,1,6,0,0,1,1,0,0,0,2,0,0,0,2,3,0,4,2,0,3,0,1,0,0,0,0,0,0,0,1,1,0
