id,lat,lon,name,street,zip_code,city,planning_area_id
79675952,52.56382,13.328849,Alberts,Scharnweberstraße 16,13405.0,Berlin,12100205
86001835,52.512033,13.3919416,Bellboy Berlin,Mohrenstraße 30,10117.0,Berlin,1100207
86005430,52.5129305,13.3912298,Newton Bar,Charlottenstraße 57,10117.0,Berlin,1100206
111644760,52.5655612,13.3209279,No Limit Shishabar,,,,12200309
149607257,52.5442253,13.4128822,en passant,Schönhauser Allee 58,10437.0,Berlin,3601346
248651127,52.5295259,13.3956385,Z-Bar,Bergstraße 2,10115.0,Berlin,1100415
267780050,52.5363657,13.425073,Immertreu,Christburger Straße 6,10405.0,Berlin,3701658
269414693,52.5414032,13.3684921,Tiger Karaoke,Müllerstraße 6,,,1300836
275375441,52.4882652,13.361927,Café Nostalgie,Crellestraße 22,10827.0,Berlin,7200411
276762554,52.4689788,13.4354663,Schloss Neuschweinsteiger,Emser Straße 122,12051.0,Berlin,8100208
278876847,52.5120463,13.4613169,Keyif,,,,2500833
282420247,52.5102582,13.4566212,Himmelreich,Simon-Dach-Straße 36,10245.0,Berlin,2500833
282428260,52.5158118,13.4591706,Palabra Bar,,,,2500727
282737297,52.5182491,13.4553049,Lauschangriff,,,,2500727
285072604,52.5126429,13.4592514,Anu Bar,Boxhagener Straße 104,10245.0,Berlin,2500830
286428394,52.5372124,13.2022687,Charlotte,Charlottenstraße 14a,13597.0,Berlin,5100316
291796493,52.5127422,13.458706,booze bar berlin,Boxhagener Straße 105,10245.0,Berlin,2500830
293644418,52.5059347,13.3283712,Quasimodo,Kantstraße 12A,10623.0,Berlin,4300622
306915565,52.547659,13.4887104,Bar im Wasserturm,Waldowstraße 20,13053.0,Berlin,11200512
309902514,52.5252025,13.4018544,Billardsalon Köh,Sophienstraße 6,10178.0,Berlin,1100309
315757114,52.5240396,13.3323416,Nebula Hookah Lounge,Alt-Moabit 72,10555.0,Berlin,1200522
318810769,52.5493859,13.4164647,Deck 5,Greifenhagener Straße 47,,,3601243
320217866,52.534462,13.404733,macke prinz,Zionskirchstraße 39,10119.0,Berlin,1100416
326807333,52.5195057,13.4234314,Salon Babette,Karl-Marx-Allee 36,10178.0,Berlin,1100311
331397676,52.5086027,13.4610994,Süß war gestern,Wühlischstraße 43,10245.0,Berlin,2500834
332554291,52.5215879,13.38609,Vincent Piano Bar,Schiffbauerdamm 6,10117.0,Berlin,1100308
339323154,52.5142681,13.4595488,Sohnemann,Niederbarnimstraße 23,10247.0,Berlin,2500830
345552307,52.4816878,13.5257159,Havanna Bar,Treskowallee 111,10318.0,Berlin,11501340
353466573,52.5006932,13.4316156,Plan,Lausitzer Platz 12,10997.0,Berlin,2300315
383851727,52.4979752,13.3562993,Bar Voyage,Nollendorfstraße 1,10783.0,Berlin,7100103
386579955,52.5051922,13.448422,Monster Ronsons Ichiban Karaoke,Warschauer Straße 34,10243.0,Berlin,2400625
410135898,52.4935555,13.43778,Dietrich,Reichenberger Straße 103,10999.0,Berlin,2300418
410135936,52.4962839,13.4212243,Frau Luna,,,,2300417
415307012,52.5415754,13.4219013,X-Bar,Raumerstraße 17,10437.0,Berlin,3601348
415551267,52.5437162,13.417339,Dirty Velvet Drinkery,Lychener Straße 39,10437.0,Berlin,3601347
