id,lat,lon,name,street,zip_code,city,planning_area_id
26865440,52.4333644,13.190734,Spinnerbrücke,,,,6400737
27318009,52.4200885,13.1763456,Loretta,Kronprinzessinnenweg 260,14109.0,Berlin,6400735
167013475,52.4916944,13.4389954,Jockel,Ratiborstraße 14c,10999.0,Berlin,2300418
255049657,52.4337259,13.1642419,Haus Sanssouci,,,,6400735
257708389,52.5406075,13.2066054,Brauhaus Spandau,Neuendorfer Straße 1,13585.0,Berlin,5100314
276134997,52.429983,13.3540107,Balkes Park-Treff,,,,6200315
280589004,52.5976055,13.2749705,Wirtshaus im Alten Fritz,,,,12200515
297233488,52.5697896,13.3942046,Rosengarten,,,,3400620
300327588,52.5422827,13.2816533,Kulturbiergarten Jungfernheide,Heckerdamm 274,,,4100101
388514302,52.4123211,13.6095915,Schmetterlingshorst,Zum Schmetterlingshorst 2,12559.0,Berlin,9401329
400916176,52.4747532,13.5241898,Albers Biergarten,,,,11501341
438209267,52.4608859,13.5459148,Der Waldkater,An der Wuhlheide 195,12459.0,Berlin,9200512
492022191,52.618156,13.335382,Freibad Lübars,,,,12500929
573395588,52.511952,13.239938,Stadionterrassen,,,,4200203
573398147,52.5156515,13.2439374,Pepe Mager,,,,4200203
622472685,52.467458,13.2617552,Im Jagdschloss,Hüttenweg 100,14193.0,Berlin,6400842
783980399,52.4108388,13.3744324,PUBalapap Ponyhof,,,,7601237
986839191,52.4866604,13.479138,Biergarten Bootsverleih Rent a´ Boat,,,,9100101
1329387334,52.4868423,13.4813072,Insel,Alt-Treptow 6,12435.0,Berlin,9100101
1336750491,52.4480138,13.5765416,Freiheit 15,Freiheit 15,12555.0,Berlin,9401534
1385783342,52.5152023,13.3364367,Biergarten-Quelle,,,,1200629
1405977761,52.4840046,13.3438293,PlatzHirsch,Freiherr-vom-Stein-Straße 20,10825.0,Berlin,7200308
1727023627,52.5951674,13.3326597,Fassl Schänke,Oranienburger Straße 196,13437.0,Berlin,12500926
1763903215,52.510887,13.4173873,republik-berlin,Köpenicker Straße 74,10179.0,Berlin,1100313
1861543922,52.4735935,13.4581489,Estrel Biergarten,,,,8100520
1907437298,52.5545195,13.4570315,Sommergarten Königin Luise,,,,3500933
2121135269,52.4471256,13.3165307,Gulliver,Marschnerstraße 2,12203.0,Berlin,6300630
2572205659,52.4847401,13.3929184,,,,,7400721
2713948988,52.4284094,13.1224528,Zur Pfaueninsel,,,,6400735
2820136908,52.4699958,13.483844,Little Popo in der KGA zur Linde,Kiefholzstraße 281,12437.0,Berlin,9100304
2997206233,52.5013953,13.2085304,Alte Liebe,,,,4200207
3695148772,52.6195227,13.3048615,Arnos Biergarten,,,,12400722
4926338321,52.4885223,13.277003,Biergarten am Herthasee,,,,4400726
4946021958,52.4389002,13.3004552,,,,,6300634
4969998321,52.509477,13.4300877,Yaam,,,,2400623
5107182643,52.4778088,13.448756,Hertzberg Golf,Sonnenallee 165,12059.0,,8100418
6058229925,52.5059319,13.4423637,Lorettas Biergarten,,,,2400625
6777268885,52.6386606,13.4902868,,,,,3100101
7946130647,52.4778716,13.1962051,Kaisergarten,,,,4200207
7968208886,52.4214548,13.1761353,,,,,6400735
8319379070,52.5924352,13.32604,Zur Dorf-Quelle,Alt-Wittenau 36a,13437.0,Berlin,12500927
8330198887,52.6069179,13.3640831,Tinis Inn,Quickborner Straße 102,13439.0,Berlin,12500929
8544292187,52.6195607,13.3048613,Arnos Biergarten,,,,12400722
9014983201,52.4830643,13.5237671,Gundelfinger,Gundelfinger Straße 52,,,11501339
9448539845,52.4844806,13.4581169,,,,,8100419
9741742487,52.6072897,13.3194398,Kindl Stübl,,,,12500928
9813921660,52.5301176,13.3828824,Biergarten Speisekombinat,Chausseestraße 116,10115.0,Berlin,1100308
9912640154,52.5251183,13.3488206,Biergarten am Kleinen Tiergarten,Alt-Moabit 25,10559.0,Berlin,1200626
