id,lat,lon,name,street,zip_code,city,planning_area_id
702412647,52.5396469,13.41347,Berlin on Bike,Knaackstraße 97,10435.0,Berlin,3701555
1200368016,52.510016,13.4055756,Best Western am Spittelmarkt,,,,1100207
1229132880,52.5328032,13.4131111,,,,,3701556
1251201121,52.5081067,13.3760927,U-Bhf. Potsdamer Platz/Linkstraße,,,,1100102
1296844656,52.5354232,13.4066737,,,,,1100416
1296844663,52.5201667,13.4059333,Karl-Liebknecht-Straße/Spandauer Straße,,,,1100310
1296844664,52.5325581,13.3992467,nextbike,,,,1100416
1296844665,52.5351772,13.3993474,,,,,1100416
1296844667,52.5353579,13.3904525,,,,,1100415
1296844669,52.5271332,13.39807,,,,,1100309
1296844673,52.5282063,13.3928226,,,,,1100309
1296844674,52.5278582,13.4089959,Linienstraße / Alte Schönhauser Straße,,,,1100310
1296844675,52.5237797,13.4111165,,,,,1100310
1339760355,52.4990796,13.3037113,nextbike,,,,4500938
1339760358,52.4969551,13.291167,nextbike,,,,4500937
1349696697,52.5193718,13.385511,Take a bike,Neustädtische Kirchstraße 8,10117.0,Berlin,1100206
1502947783,52.5121434,13.3765143,,,,,1100102
1612137710,52.5129774,13.3970527,,,,,1100206
1614581955,52.5242187,13.3874519,,,,,1100308
1619251872,52.5119705,13.4084591,,,,,1100312
1811233024,52.5220142,13.4006665,Burgstraße / Neue Promenade,,,,1100310
1834091926,52.4827703,13.4383457,Moghul Rikschas,Elbestraße 1,12045.0,,8100312
1870414832,52.4969893,13.3497939,Bike Shop Schöneberg,Eisenacher Straße 109,10777.0,Berlin,7100102
1949062894,52.5333397,13.4144756,Prenzlberger Orange Bikes,,,,3701556
1957555687,52.4902202,13.3867918,,,,,2200209
1979921504,52.5027995,13.3250278,Uhlandstraße / Grolmanstraße,,,,4501041
1982703198,52.507324,13.3981555,Rudi-Dutschke-Straße / Axel-Springer-Straße,,,,2100102
1982708172,52.4977484,13.4316029,Wiener Straße / Spreewaldplatz,,,,2300417
1982717508,52.4996712,13.416725,Kottbusser Tor / Reichenberger Straße,,,,2300314
1982736736,52.501171,13.4421311,U-Bhf. Schlesisches Tor / Köpenicker Straße,,,,2300316
1982894315,52.4989713,13.4261668,,,,,2300315
1982897272,52.4845201,13.3855161,Platz der Luftbrücke,,,,7400720
2005099023,52.5427489,13.4186985,,,,,3601347
2005703972,52.5409335,13.414552,,,,,3601347
2477396066,52.4772313,13.4229702,,,,,8100102
2477396069,52.4817141,13.4353652,,,,,8100314
2542447131,52.5490958,13.3486326,FRANCIS Fahrradservice,Seestraße 104,13353.0,Berlin,1400942
2574425613,52.4917653,13.4259609,,,,,8100310
2625372928,52.479864,13.4224082,Rent A Bike 44,Mahlower Straße 9,12049.0,,8100102
2747977968,52.5113214,13.3346933,Rent a Bike,,,,1100102
2749149916,52.5100204,13.3759141,Potsdamer Platz/Ebertstraße,,,,1100102
2749196819,52.5494171,13.3874728,,,,,1300733
2817842708,52.5351353,13.349526,nextbike,Quitzowstraße 38,10559.0,Berlin,1200623
2863122189,52.5428744,13.4117208,,,,,3601142
2911737329,52.5263559,13.447003,Landsberger Allee / Danziger Straße,,,,2400522
2971264788,52.5184681,13.3643955,Haus der Kulturen der Welt / John-Foster-Dulles-Allee,,,,1100102
2985068855,52.5201363,13.3477019,S-Bhf. Bellevue,,,,1200629
3106074241,52.5408589,13.4048998,,,,,3601142
3107369502,52.4484468,13.627577,Bennos Fahrradverleih,,,,9501737
3279791915,52.475709,13.364026,S-Bhf. Südkreuz / Hildegard-Knef-Platz,,,,7200412
3423746761,52.4742827,13.4554471,,,,,8100417
3479528824,52.543813,13.396973,,,,,1300834
3486690272,52.5240351,13.3687542,S-Bhf. Hauptbahnhof / Washingtonplatz,,,,1200628
3489099153,52.5195367,13.4331722,,,,,2400521
3493728130,52.5331279,13.4294205,Greifswalder Straße / Hufelandstraße,,,,3701660
3493728131,52.5284058,13.4166757,,,,,3701556
3493728133,52.5307931,13.4111484,Stadtbüro Call a Bike / Schönhauser Allee,,,,3701554
3493728134,52.5289431,13.4385489,Volkspark Friedrichshain / Virchowstraße,,,,3701660
3524049657,52.5367212,13.3972119,,,,,1100416
3526657772,52.5294756,13.4003457,U-Rosenthaler Platz / Torstraße,,,,1100309
3531014393,52.5056298,13.3238849,,,,,4300624
3532698373,52.5035499,13.3274649,Rent a bike,,,,4501042
3561939752,52.5078137,13.4496307,Helsingforser Platz / Warschauer Straße,,,,2400624
3561939756,52.5174148,13.4413841,Straße der Pariser Kommune / Karl-Marx-Allee,,,,2400522
3561939757,52.5156131,13.45344,,,,,2400624
3561939758,52.5032008,13.4456129,Warschauer Straße / Mühlenstraße,,,,2400625
3608517040,52.515478,13.4721096,,,,,2500729
3608517041,52.5005369,13.4522707,Stralauer Allee 4 / Coca-Cola,,,,2500835
3625765330,52.5075875,13.3890135,Checkpoint Charlie,,,,1100205
3625765331,52.4972152,13.3801403,Obentrautstraße / Möckernstraße,,,,2200208
3666234835,52.4953278,13.4048457,,,,,2200210
3666234836,52.4945797,13.4152568,,,,,2200213
3666234837,52.4870944,13.4223463,,,,,2200212
3709297100,52.4816696,13.3568228,EUREF / Gasometer,,,,7200413
3709297101,52.4699929,13.4414485,,,,,8100208
3710356958,52.4889874,13.3946648,,,,,2200211
3799527247,52.4983409,13.3241998,Swapfiets,Uhlandstraße 45,10719.0,Berlin,4501044
3946739753,52.5233755,13.3319378,Hotel Les Nations,,,,1200522
4226875720,52.5329499,13.4139691,Kollwitz 45 Surf House,,,,3701556
4261575772,52.5288145,13.4056331,Mietradmitte,Linienstraße 58,10119.0,Berlin,1100309
4484956595,52.5028205,13.484883,,,,,11400928
4617726083,52.5096025,13.4978695,nextbike,,,,11400929
4620039775,52.5158863,13.4793587,nextbike,,,,11300722
4623395303,52.5133359,13.477207,nextbike,,,,11300722
4792215796,52.4583159,13.546103,,An der Wuhlheide 193,12459.0,Berlin,9200512
4885751443,52.5124308,13.4887065,,,,,11300724
4945909040,52.5126066,13.4054648,,,,,1100312
4959065520,52.4679465,13.4308696,,,,,8100104
4959067322,52.4728121,13.428575,,,,,8100104
4959116188,52.4735091,13.4408447,,,,,8100208
4972817373,52.5425118,13.3754778,Neue Hochstraße,Neue Hochstraße 30,,,1300836
5020959405,52.5376231,13.4015868,,,,,1100416
5109781022,52.5259985,13.3651648,Lehrter Shop,,,,1200627
5171487415,52.5220273,13.4080932,Swapfiets,Karl-Liebknecht-Straße 13,10178.0,Berlin,1100310
5214782211,52.4804968,13.4243327,,,,,8100102
5493801717,52.5120279,13.3175898,,,,,4300624
5571881319,52.4885783,13.3526241,Merseburger Straße,,,,7200409
5696776137,52.5025374,13.3445102,Ibis,,,,7100101
5981262735,52.4846622,13.4337889,,,,,8100312
5993762879,52.5327711,13.4757601,nextbike,,,,11300617
6044426190,52.5015733,13.3837335,,,,,2100101
6321505038,52.5010708,13.422661,Lotte,,,,2300314
6321514112,52.5439682,13.4150928,Luise,,,,3601346
6321524843,52.51223,13.4951806,Lukas,,,,11300725
6321527780,52.474225,13.328743,Frieda,,,,7300517
6321543808,52.5343,13.5132452,Margaretha; Annika,,,,11300721
6342186152,52.4900863,13.4487673,Walter; Inge,,,,9100101
6351879209,52.5252817,13.4673508,nextbike,,,,11300619
6351880541,52.5279924,13.4686644,nextbike,,,,11300618
6352088554,52.5289881,13.4569517,nextbike,,,,3601450
6395608538,52.5163563,13.4542142,,,,,2500727
6413646973,52.5051041,13.385951,Fahrrad Werkstatt,Anhalter Straße 11,,,2100101
6434271234,52.5317438,13.4321951,,,,,3701660
6436729823,52.5044976,13.3819158,S Anhalter Bahnhof,,,,2100101
6457352269,52.4935295,13.3708206,,,,,2200207
6501540658,52.4709879,13.448039,,,,,8100417
6564968026,52.4911493,13.3965464,,,,,2200210
