id,lat,lon,name,street,zip_code,city,planning_area_id
30012754,52.5388551,13.3960965,Eiscafe Eisberg,Brunnenstraße 55,13355.0,Berlin,1300834
35528080,52.5476798,13.3563426,Coffee Star,Müllerstraße 146,13353.0,Berlin,1400942
66917199,52.5194029,13.3887381,Starbucks,,,,1100206
66917229,52.5167295,13.3797732,Starbucks,Pariser Platz 4A,10117.0,Berlin,1100206
69226202,52.507931,13.3737316,Brammibals Donuts,Alte Potsdamer Straße 7,10785.0,Berlin,1100102
75645699,52.5105871,13.3764297,Espresso House,Potsdamer Platz 5,10785.0,Berlin,1100102
81362508,52.5089075,13.2708507,Café & Reisebüro - Eishandwerk,Heerstraße 1,14052.0,Berlin,4200310
84644791,52.5082693,13.3770044,Espresso House,Potsdamer Platz 10,10785.0,Berlin,1100102
87036259,52.5307598,13.3831456,Espresso House,Invalidenstraße 35,10115.0,Berlin,1100415
87040343,52.5110724,13.3900182,Starbucks,Friedrichstraße 61,10117.0,Berlin,1100207
87040348,52.5113571,13.3894708,Einstein Kaffee,,,,1100207
89274938,52.5195321,13.4103508,Segafredo,,,,1100310
115544715,52.4296874,13.530639,Caffè Kamee,Rudower Chaussee 25,12489.0,Berlin,9200715
249299067,52.5382237,13.4204986,SowohlAlsAuch,Kollwitzstraße 88,10435.0,Berlin,3701555
253999353,52.4879922,13.3540483,DoubleEye,Akazienstraße 22,10823.0,Berlin,7200409
268760098,52.545836,13.4061087,Café Meta,Am Falkplatz 1,10437.0,Berlin,3601142
268915525,52.5038988,13.2909804,Kuno 15,Kuno-Fischer-Straße 15,14057.0,Berlin,4300415
269713585,52.5183945,13.3464153,Weinwirtschaft in der Akademie der Künste,Hanseatenweg 10,10557.0,Berlin,1200629
270667310,52.5146541,13.3483549,Café Viktoria,,,,1100102
270814693,52.4272121,13.2172579,Dagas Café,Potsdamer Chaussee 80,14129.0,Berlin,6400736
271668412,52.4882026,13.3609478,Cafe Sunar,,,,7200411
272593724,52.456348,13.2925424,eßkultur,Lansstraße 8,14195.0,Berlin,6400843
272811519,52.4979882,13.443644,Bizim Kiez,,,,2300419
272812495,52.4971308,13.4431518,Beumer Lutum,Cuvrystraße 22,10997.0,Berlin,2300419
275564580,52.525912,13.3869997,Espresso House,Friedrichstraße 125,10117.0,Berlin,1100308
276795876,52.433668,13.4225855,Milchbar,,,,8200729
277836777,52.4686515,13.4677356,Kiez-Bäckerei,,12057.0,Berlin,8100521
278125487,52.5054349,13.4663979,Uebereck,Sonntagstraße 31,10245.0,Berlin,2500834
278295436,52.4890118,13.3935082,Barcomis Café & Kaffeerösterei,Bergmannstraße 21,10961.0,Berlin,2200211
278874829,52.5146574,13.4630543,Milchgesicht,Mainzer Straße 1,10247.0,Berlin,2500830
281334742,52.5467698,13.5567171,Konditorei & Eiscafé Engel,Marzahner Promenade 55,12679.0,Berlin,10100210
281513616,52.4910478,13.3675144,Cafe Finovo,Großgörschenstraße 12,10829.0,Berlin,7100206
282420126,52.5097761,13.457186,Caramello,Wühlischstraße 31,10245.0,Berlin,2500833
282421717,52.5128318,13.4582338,Intimes,Boxhagener Straße 107,10245.0,Berlin,2500830
282430727,52.5160258,13.4570212,Café Tasso,,,,2500727
282739852,52.5166158,13.4631774,Brunchella,,,,2500728
286428319,52.5370841,13.2019954,Café Lutetia,Jüdenstraße 10,13597.0,Berlin,5100316
289414441,52.4820047,13.6015579,Das kleine Eiswerk,Hultschiner Damm 76,12623.0,Berlin,10400941
291535997,52.5074506,13.3213947,Pars,Grolmanstraße 53,10623.0,Berlin,4300624
292203637,52.4978961,13.3230488,Zoena,,,Berlin,4501044
292203638,52.4979575,13.3228653,Sweet2go,Pfalzburger Straße 79,10719.0,Berlin,4501044
300658414,52.4445732,13.1306758,Sommercafé Kladow,Lüdickeweg 1,14089.0,Berlin,5400944
305259644,52.5152592,13.3983179,The Coffee Shop,,,,1100207
305260598,52.5191167,13.3985266,Café im Alten Museum,,,,1100206
308410291,52.5213767,13.4096608,Tudo,,,,1100310
308523030,52.5511873,13.4040715,Kiez Kaffee Kraft,Schivelbeiner Straße 23,10439.0,Berlin,3601140
310267635,52.4923209,13.4182784,BlacKawa,Dieffenbachstraße 52,10967.0,Berlin,2200213
310267637,52.4923551,13.4181322,Schönes Café,Dieffenbachstraße 54,10967.0,Berlin,2200213
310268917,52.4937994,13.4190153,Mokarabia,,,,2200213
310269864,52.4931596,13.4203993,Narr-Bar,Böckhstraße 24,10967.0,Berlin,2200213
312697036,52.4866549,13.3551643,Café Bilderbuch,Akazienstraße 28,10823.0,Berlin,7200409
314401620,52.5223054,13.4509232,Ja Dilo,Petersburger Straße 45,10249.0,Berlin,2500726
314752483,52.5351623,13.3986537,caffe e cioccolata,Anklamer Straße 41,10115.0,Berlin,1100416
315549929,52.536814,13.402935,La Lúcuma,Granseer Straße 8,10435.0,Berlin,1100416
315738178,52.5373544,13.4007116,Cup Arkona,Arkonaplatz 10,10435.0,Berlin,1100416
316883775,52.5373736,13.4040229,Cafe Fräulein Dietrich,Fürstenberger Straße 14,10435.0,Berlin,1100416
317179404,52.5472409,13.3580798,Fedora,Müllerstraße 28,13353.0,Berlin,1401048
317550357,52.4310052,13.5319872,Gerdans Café,Rudower Chaussee 26,12489.0,Berlin,9200715
319181468,52.5498572,13.4132889,Espresso House,Schönhauser Allee 116,10439.0,Berlin,3601141
321529369,52.5333583,13.4041902,Glücklich am Park,,,,1100416
323226411,52.4562032,13.307115,Café Viktoria,,,,6300629
324792576,52.4132497,13.3629269,Cafe Europa,,,,7601236
329969468,52.5175686,13.4238976,Lotus Cafe,,,,1100311
330264334,52.5295304,13.4017825,St. Oberholz,Rosenthaler Straße 72,10119.0,Berlin,1100309
332625327,52.5206164,13.384282,Zimt & Zucker,Schiffbauerdamm 12,10117.0,Berlin,1100308
333136478,52.5230929,13.3837544,Café Albrecht,Reinhardtstraße 23,10117.0,Berlin,1100308
