id,lat,lon,name,street,zip_code,city,planning_area_id
30352328,52.5133372,13.2842603,,,,Berlin,4200311
410135893,52.4915174,13.4368516,,,,,2300418
616672198,52.536068,13.1917177,Sixti Car Club,,,,5100316
1334289987,52.4695032,13.3411199,,,,,7300619
1826897235,52.4997903,13.4201248,stadtmobil,Skalitzer Straße 133,10999.0,Berlin,2300314
1826931830,52.5051208,13.4316834,Stadtmobil,Manteuffelstraße 121-123,10997.0,Berlin,2300316
3363900043,52.5421241,13.420326,,,,,3601348
3363902823,52.542678,13.4189019,Greenwheels,,,,3601347
3875852629,52.5449905,13.4269668,Flinkster,,,,3601244
4278854418,52.5367486,13.4184235,,,,,3701555
4436548357,52.5343108,13.381765,,,,,1100414
4605555446,52.5229639,13.378748,,,,,1100308
5260315892,52.5473121,13.4076002,,,,,3601142
6124260756,52.5034886,13.4375537,Cambio Station Köpenicker,Köpenicker Straße 11,,,2300316
7536994036,52.5135935,13.4222072,,,,,1100311
7915910821,52.5287821,13.4012144,stadtmobil,,,,1100309
7995684589,52.4796049,13.3463921,,,,,7200308
8255683563,52.5541797,13.2260851,Jelbi-Station Daumstraße/Rhenaniastraße,,,,5300736
8614201454,52.5386786,13.2326674,Jelbi-Station U Haselhorst,,,,5300737
8614204893,52.5106897,13.5009862,Jelbi-Station S+U Lichtenberg,,,,11400931
9002051629,52.5058683,13.5608726,Jelbi,,,,10300733
9074640222,52.544121,13.4181042,Cambio,Lychener Straße 46,10437.0,Berlin,3601347
10263347366,52.4917973,13.3791418,,,,,2200209
10271579872,52.4867107,13.4228501,,,,,2200212
10293401273,52.4885196,13.4135196,,,,,2200212
10293414916,52.4974999,13.4436721,,,,,2300419
10608414647,52.5722166,13.4281633,DB Netz Granitzstraße,,13189.0,Berlin,3400831
10969860170,52.4755902,13.3663847,,,,,7200413
