id,lat,lon,name,street,zip_code,city,planning_area_id
63253672,52.4993218,13.2961178,Späti Joe,Joachim-Friedrich-Straße 39,10711.0,Berlin,4500937
141469102,52.5408415,13.1474707,,,,,5200419
253616592,52.5110467,13.4626981,Mein Markt Pham,,,,2500833
266629404,52.5092086,13.5874999,...nah und gut,Mädewalder Weg 45,12621.0,Berlin,10400836
269475044,52.5017902,13.4165385,Milchladen,Dresdener Straße 20,10999.0,Berlin,2300314
277681454,52.4990942,13.3931869,Bagdad Lebensmittel,,,,2100102
278124916,52.5083552,13.4529561,Drinks & more,Revaler Straße 9,10245.0,Berlin,2500834
282406641,52.5108993,13.4611651,Drink Oase,Gärtnerstraße 14,10245.0,Berlin,2500833
286210165,52.4992044,13.4635638,Spätverkauf,,,,2500835
287297820,52.5291171,13.4094976,Midnight Shop,Schönhauser Allee 188,10119.0,Berlin,3701554
298676294,52.5376931,13.2035603,Reformhaus,,,,5100316
304897065,52.3934584,13.5726195,Nhat Long,Waltersdorfer Straße 47,12526.0,Berlin,9301025
310267641,52.4924848,13.4175963,E Markt,Dieffenbachstraße 55,10967.0,Berlin,2200213
310377176,52.4808992,13.3430964,Mein Markt,Innsbrucker Straße 37,10825.0,Berlin,7200308
312820851,52.5429183,13.376473,Spätkauf,Gerichtstraße 78,13347.0,Berlin,1300836
313874489,52.5257591,13.4519646,Asia Supermarket,,,,2500726
313874493,52.5262878,13.4516579,Eren,Ebertystraße 52,10249.0,Berlin,2500726
314401614,52.5231705,13.4531781,Asia Lebensmittel,Straßmannstraße 41,10249.0,Berlin,2500726
314401618,52.5227042,13.4513021,Mini Markt 25,,,,2500726
314401620,52.5223054,13.4509232,Ja Dilo,Petersburger Straße 45,10249.0,Berlin,2500726
314401622,52.5231896,13.4503447,Asia Shop,,,,2500726
322153511,52.5270002,13.3983598,Kiezmarkt,Große Hamburger Straße 39,10115.0,,1100309
331347585,52.5087187,13.4616129,Nice 2 See U,Wühlischstraße 19,10245.0,Berlin,2500833
364135228,52.4756969,13.4247724,Orange,,,,8100103
411899540,52.5282633,13.3430149,All in One Shop,,,,1200520
420512359,52.4550699,13.375534,Spätkauf am Atillaplatz,Alarichstraße 1,12105.0,Berlin,7400826
427670051,52.5120271,13.4964222,Späti,,,,11300725
427670062,52.5117432,13.4974878,Kiez-Shop,Frankfurter Allee 246-248,,,11300725
429729075,52.4899925,13.3602113,City-Kiosk,Hauptstraße 160,10827.0,Berlin,7200411
430126697,52.5028638,13.4543186,Obst und Gemüse,,,,2500835
431655696,52.5097543,13.4622583,LPG,Seumestraße 12,10245.0,Berlin,2500833
434492758,52.5374568,13.2033126,Supermarkt Rose,,,,5100316
438150623,52.503197,13.4914514,Mini Markt,,,,11400929
440971671,52.5510932,13.3564031,Mini Market Alper,,,,1401048
441513730,52.4609503,13.4346275,Huzur Gida,,,,8200624
442749323,52.4673029,13.4403109,Spät-Shop,Silbersteinstraße 9,12051.0,Berlin,8100209
448594622,52.5011115,13.4410845,Späti am Schlesi,,,,2300316
452385593,52.5509168,13.5100245,Multi Spätkauf,,,,11200410
454251024,52.4860909,13.4351467,Spätcampus,Weichselstraße 54,12045.0,Berlin,8100312
458138650,52.5211339,13.4465218,Spätkauf Olive,,,,2400522
458752207,52.4405026,13.3878363,Mariendorfer back & spätkauf,,,,7501031
461624503,52.5171097,13.4466536,Markt an der Weberwiese,,10243.0,Berlin,2400522
470319897,52.5885762,13.2855387,Steinshop,,,,12200515
473629401,52.5578099,13.3900362,Soldiner Späti,Soldiner Straße 14,13359.0,Berlin,1300732
476259949,52.4816447,13.4441313,Heimgetränke,Innstraße 9,12045.0,Berlin,8100418
506197795,52.544033,13.4242868,Lateshop Café Roj,Stargarder Straße 50,10437.0,Berlin,3601348
530715886,52.541734,13.3575427,,,,,1401047
