id,lat,lon,name,street,zip_code,city,planning_area_id
266680057,52.5070039,13.5985472,Augenarzt Dr. med. Bashar Moustafa,Münsterberger Weg 122,12621.0,Berlin,10400836
268915280,52.5430244,13.3626634,Dr. Katja Meißner,Willdenowstraße 5B,13353.0,Berlin,1401047
362631112,52.5221737,13.1663149,Medizinisches Versorgungszentrum Heerstraße Nord,Obstallee 22A,13593.0,Berlin,5200527
365507111,52.5673085,13.4942244,Dr Kleina / Dr Lück,,,,11100308
407094165,52.5062647,13.5900589,,Karlstraße 12a,12621.0,Berlin,10400836
409925339,52.5050079,13.5575525,Polimedica,,,,10300733
420517141,52.3864845,13.4036823,Agnes Kranz,Bahnhofstraße 51,12305.0,Berlin,7601544
420517414,52.3854787,13.3994422,Arztpraxis Mehdi Zadeh,Briesingstraße 13A,12307.0,Berlin,7601544
443669345,52.4391996,13.2142934,,Altvaterstraße 2,14129.0,Berlin,6400737
497180977,52.4050209,13.5685776,Praxis Dipl.-Med. Thomas Domnik,Grottewitzstraße 25,12526.0,Berlin,9301024
497183294,52.4001047,13.5726254,Dr. med. Stefan Donat,Krumme Straße 10a,12526.0,Berlin,9301025
506410619,52.4706145,13.4417252,Dr. Darian Dalmis,Karl-Marx-Straße 215,12055.0,Berlin,8100417
525495501,52.587514,13.2853339,,,,,12200515
531228825,52.5426877,13.3761831,Dr. med. Klaus Dierlich,Neue Hochstraße 24,13347.0,Berlin,1300836
552149367,52.5415699,13.3531233,Naoum,Sprengelstraße 19,13353.0,Berlin,1401046
567148666,52.542169,13.3741752,Dr. Luise Schröter,Schönwalder Straße 28,13347.0,Berlin,1300836
567546837,52.5226306,13.4509141,Dr. med. B. Klee,,,,2500726
567546841,52.5237491,13.4507961,Dr. med. Ayhan Dogan,Ebelingstraße 15,10249.0,Berlin,2500726
575192282,52.5429908,13.3700829,Dr. med Rüdiger Andreeßen,,,,1300836
582854283,52.4217236,13.3704503,,,,,7601237
610474614,52.5375235,13.4013397,Gemeinschaftspraxis Arkonaplatz,Arkonaplatz 5,10435.0,Berlin,1100416
612811382,52.5248933,13.4800899,Röntgeninstitut Möllendorffstraße,Möllendorffstraße 52,10367.0,Berlin,11300620
612814377,52.5120892,13.4968299,Nierenzentrum Frankfurter Allee,Frankfurter Allee 241,10365.0,Berlin,11300725
620850014,52.4452836,13.4454241,Dr. Dominic Mutlu,Paster-Behrens-Straße 54,12359.0,Berlin,8200727
667893281,52.5385236,13.4165117,Praxis an der Kulturbrauerei,Hagenauer Straße 1,10435.0,Berlin,3701555
699536409,52.4168874,13.4963783,Mohamad Al-Raai,Alt-Rudow 70,12355.0,Berlin,8401243
739999336,52.4339053,13.3596915,,,,,6200316
745730922,52.4872914,13.4316592,Arztpraxis Abdelhamid Brahimi,,,,8100312
747200086,52.5814637,13.4029105,Hausarzt PRAXIS am Ossietzkyplatz | Dr. med. Andrea Hering & Dr. med. Johanna von Mechow,Dietzgenstraße 17,13156.0,Berlin,3200206
747457640,52.5823668,13.4040219,Dr.med. Stephan Oertel,Dietzgenstraße 26,13156.0,Berlin,3200207
