id,lat,lon,name,street,zip_code,city,planning_area_id
30022140,52.4934924,13.3876866,Curry 36,Mehringdamm 36,10961.0,Berlin,2200208
30057218,52.5243061,13.3338667,Bistro Öz Tadim,,,,1200522
84646591,52.5308437,13.3829698,Subway,Chausseestraße 22,10115.0,Berlin,1100415
86001790,52.5158107,13.3899247,Subway,Behrenstraße 47,10117.0,Berlin,1100206
89274884,52.5200676,13.4114731,Dunkin,Rathausstraße 5,10178.0,Berlin,1100310
89312691,52.5226551,13.41272,Burger King,,,Berlin,1100310
106982123,52.5099118,13.53153,McDonalds,Alt-Friedrichsfelde 61,10315.0,Berlin,11401034
149607221,52.5404746,13.412219,Konnopke’s Imbiß,Schönhauser Allee 44b,10435.0,Berlin,3701554
248652663,52.5392141,13.4216014,Zweistrom,Kollwitzstraße 104,10435.0,Berlin,3701555
249094185,52.540858,13.4125546,Risa Chicken,Danziger Straße 2,10435.0,Berlin,3701555
253891060,52.5438563,13.4156212,Kreuzburger,Pappelallee 19,10437.0,Berlin,3601347
260753892,52.4695529,13.3711438,McDonalds,,,,7400823
262353303,52.4562295,13.5091368,McDonalds,Schnellerstraße 21,12439.0,Berlin,9200613
262366174,52.5151582,13.4627585,Subway,Frankfurter Allee 41,10247.0,Berlin,2500728
268072807,52.5957358,13.2909387,Marians Imbiss,Waidmannsluster Damm 18,13509.0,Berlin,12500824
269475044,52.5017902,13.4165385,Milchladen,Dresdener Straße 20,10999.0,Berlin,2300314
276134995,52.4272986,13.3655814,Hans Wurscht,Preysingstraße 9,12249.0,Berlin,6200317
276795907,52.432508,13.4080288,Spielelandschaft,,,,7501134
277805929,52.4803876,13.3851493,Burger King,Tempelhofer Damm 28-30,12101.0,Berlin,7400720
279301771,52.5264558,13.3881434,Dada Falafel,Linienstraße 132,10115.0,Berlin,1100309
279408216,52.5658467,13.5035112,Pizzafabrik.de,Zingster Straße 14,13051.0,Berlin,11100307
282420132,52.5104805,13.4562191,Pizza Dach Aceto Lokanta,Simon-Dach-Straße 12,10245.0,Berlin,2500833
282739417,52.51684,13.4619531,Casablanca,,,,2500728
282742878,52.518356,13.4658491,Bistro Samariter,,,,2500728
282751417,52.5149029,13.4737036,Akcan Döner,Rigaer Straße 56,10247.0,Berlin,2500729
282751610,52.5148419,13.4739485,Rigas Pizza Box,Rigaer Straße 56,10247.0,Berlin,2500729
283369738,52.5573252,13.3734018,Hakiki,,13359.0,Berlin,1300730
285079008,52.5125022,13.4602102,Dominos,Boxhagener Straße 102,10245.0,Berlin,2500830
285431956,52.5375361,13.2034674,Burger King,Carl-Schurz-Straße 37,13597.0,Berlin,5100316
286750068,52.4339621,13.1911015,Burger King,,,,6400737
287295063,52.529464,13.458037,Burger King,Landsberger Allee 119,10407.0,Berlin,3601450
287297683,52.5286587,13.4090078,Luxa,Torstraße 56,,,1100309
290829129,52.4268197,13.4349825,Chinapfanne,,,,8200832
290829130,52.4268714,13.4349794,Muro Döner Kebap,,,,8200832
292728693,52.4168757,13.6252804,Imbiss am Müggelturm,,,,9401329
297807601,52.4931087,13.4151128,Ron Telesky Canadian Pizza,Dieffenbachstraße 62,10967.0,Berlin,2200213
298094795,52.4844684,13.3852862,Bistro Nazar,,,,7400720
300467433,52.4115191,13.5735374,Vietnam Küche,Gründerstraße 3,12526.0,Berlin,9301126
307642432,52.5172949,13.3769238,Wurst,,,,1100102
308858101,52.4105368,13.3818276,McDonalds,Buckower Chaussee 100-102,12277.0,Berlin,7601341
310377171,52.4883391,13.3399468,Brutzelstübchen,,,,7200307
310377173,52.4813345,13.3481061,Haupt Grill,Hauptstraße 110,10827.0,Berlin,7200308
310377178,52.4854609,13.3554125,Max und Moritz,Hauptstraße 140,10827.0,Berlin,7200410
312383490,52.5001539,13.3119651,Subway,Kurfürstendamm 180,10707.0,Berlin,4501043
313325387,52.504856,13.337072,KFC,Tauentzienstraße 9,10789.0,Berlin,4501042
314671375,52.524735,13.452738,Pho Co,Ebertystraße 44,10249.0,Berlin,2500726
315757117,52.5240862,13.3325813,Sushi Shop,Alt-Moabit 73,10555.0,Berlin,1200522
316565528,52.5461326,13.3591332,Kaplan,Müllerstraße 153,,,1401047
316657525,52.527485,13.4801013,Macs Deluxe,,,,11300620
316772541,52.5888213,13.2847477,Laventes Grill,,,,12200515
317179408,52.5458893,13.3588162,Baba Sultan Köfteci,Luxemburger Straße 34,13353.0,Berlin,1401047
317179409,52.5456761,13.3576119,Lahmacun Kebab Haus,Luxemburger Straße 6,13353.0,Berlin,1400942
317179414,52.5466314,13.3591493,Orient Station,,13353.0,Berlin,1401048
317179416,52.5466466,13.3592059,Asia Imbiss,,13353.0,Berlin,1401048
317179429,52.5465521,13.3597523,Currywurst am Leo,,,,1401043
317552398,52.432331,13.5358496,Bagel Company,Rudower Chaussee 13,12489.0,Berlin,9200715
317552401,52.4326337,13.535167,Subway,,,,9200715
318149465,52.521073,13.4122205,McDonalds,,,,1100310
318149466,52.5211976,13.4118911,Currywurst Express,Dircksenstraße 2,10179.0,Berlin,1100310
320216659,52.5343736,13.4051897,Cult Döner,Kastanienallee 48,10119.0,,1100416
324205115,52.571121,13.5000169,Dolce Vita,Ribnitzer Straße 10A,13051.0,Berlin,11100307
324792570,52.4133977,13.3630022,Pizza Ciao,Marienfelder Allee 146,12279.0,Berlin,7601236
324792581,52.4143333,13.3643082,Seven Grill,,,,7601237
330263068,52.5324085,13.3977725,Moriz,Invalidenstraße 161,10115.0,Berlin,1100415
333136725,52.5197964,13.3892871,dean&david,Friedrichstraße 96,,,1100206
335567493,52.5644598,13.3927796,Aris Döner & Burger,Wollankstraße 24,13359.0,Berlin,1300731
336117213,52.5067896,13.3077721,Beirut Grill,Kantstraße 55,10627.0,Berlin,4300623
350462678,52.5009253,13.418855,Maroush,Adalbertstraße 93,10999.0,Berlin,2300314
350499772,52.5006682,13.436245,McDonalds,Wrangelstraße 35,10997.0,Berlin,2300315
352924669,52.4929355,13.3687704,Hisar,Yorckstraße 49,10965.0,Berlin,7100206
354721203,52.5248829,13.1424802,Bistro Kaya,,,,5200524
362861264,52.5110815,13.4584427,Sanabel,Gabriel-Max-Straße 16,10245.0,Berlin,2500833
370400278,52.5103092,13.271345,Prime Kebab,Reichsstraße 1,14052.0,Berlin,4200310
376053800,52.532925,13.399735,Riha Bistro,Veteranenstraße 27,10119.0,Berlin,1100416
388520288,52.3898738,13.6507094,,,,,9401635
388579116,52.598019,13.3764618,Irem Bistro,,,,3400618
390427086,52.434117,13.4215617,Burger Garden,,,,8200729
390470723,52.537582,13.2191283,McDonalds,Am Juliusturm 42-46,13599.0,Berlin,5300736
392404648,52.5176798,13.4410506,Bistro 93,Karl-Marx-Allee 93,10243.0,Berlin,2400522
407094160,52.51226,13.5885443,Mac Kebab,,,,10400836
409353486,52.5057935,13.5604279,Dönerpoint,Weißenhöher Straße 108,12683.0,Berlin,10300733
410135925,52.4984909,13.4424784,Nour,Wrangelstraße 81,10997.0,Berlin,2300419
410135941,52.4982746,13.4302367,Pizzeria Piccola Musica,,,,2300417
410135953,52.5007365,13.4420873,Pizza Espresso,Schlesische Straße 1,10997.0,Berlin,2300419
410214240,52.5924287,13.2668639,Park-Imbiss,,,,12200515
417009812,52.4862522,13.3613204,Efdal,Czeminskistraße 55,10829.0,Berlin,7200411
417128855,52.4847122,13.3460833,Dolce Pizza,Belziger Straße 73,10823.0,Berlin,7200409
417237678,52.4939684,13.4633423,Löcknitz-Forelle Imbiß,,,,9100101
426687397,52.5022791,13.3425297,Wittys Organic Food,Wittenbergplatz 5,10789.0,Berlin,7100101
426973261,52.4602941,13.3245563,Falafel Baba,,,,6100102
427670053,52.5120307,13.4965401,Payamlino Bistro,,,,11300725
427670057,52.5120549,13.4970713,Sheran Shop,Frankfurter Allee 243,,,11300725
427670064,52.5117362,13.4970339,Isys Dönerpoint,,,,11300725
427670068,52.5120768,13.4983124,Bambus Bistro,Frankfurter Allee 251,10365.0,Berlin,11300725
427670069,52.5120631,13.4985416,Burger City,Frankfurter Allee 255,10365.0,Berlin,11300725
427670070,52.5120768,13.4984638,Asia-Imbiss,,,,11300725
427901484,52.4328293,13.4154457,Am Modellboothafen,,,,8200729
428889381,52.6371696,13.4923264,Akcan Döner,Wiltbergstraße 34,13125.0,Berlin,3100101
429740258,52.50905,13.3771155,dean&david,,,,1100205
430545834,52.466214,13.3852325,Risa Chicken,Tempelhofer Damm 144,12099.0,Berlin,7400824
431245850,52.5180225,13.4553319,Saigon Shack,,,,2500727
432486561,52.52195,13.32624,1995 Viet Cuisine,Helmholtzstraße 26,10587.0,Berlin,4300620
433914645,52.5295556,13.2965362,Dalinji,,,,4300517
436624045,52.4315358,13.5377539,extraSuppe,Albert-Einstein-Straße 1-3,12489.0,Berlin,9200715
437195224,52.5194319,13.4108241,Hong Kong Express,,,Berlin,1100310
437611378,52.5204075,13.4049136,Nordsee,Spandauer Straße 4,10178.0,Berlin,1100310
438210603,52.4640973,13.5469131,Fritten Fritze,,,,9200512
440078137,52.5005212,13.3094972,Soup Kultur,Kurfürstendamm 66,10707.0,Berlin,4501040
440339696,52.4750273,13.4396896,Kababji,Karl-Marx-Straße 168,12043.0,Berlin,8100207
441283250,52.5377105,13.2022098,Pho & More,,,,5100316
441514946,52.4787083,13.4254935,Haci Gemüse Kebap,,,,8100102
441514948,52.4792133,13.4258225,Burger Pause,Hermannstraße 219,12049.0,,8100206
441514949,52.4792568,13.4258084,Sam Asia Imbiss,,,,8100206
441734599,52.4808248,13.4356816,My Döner,,,,8100415
442388893,52.4590422,13.3841751,Bistro Rose 2,Tempelhofer Damm 196,12099.0,Berlin,7400825
