id,lat,lon,name,street,zip_code,city,planning_area_id
27378775,52.401683,13.5743044,Freiwillige Feuerwehr Bohnsdorf,Waltersdorfer Straße 107,12526.0,Berlin,9301025
98896966,52.4874539,13.3206881,Berufsfeuerwache Wilmersdorf,Gasteiner Straße 19-20,10717.0,Berlin,4501147
253618460,52.5118289,13.4445489,Berufsfeuerwache Friedrichshain,Rüdersdorfer Straße 56,10243.0,Berlin,2400624
270905719,52.4367173,13.716157,Freiwillige Feuerwehr Wilhelmshagen,,,,9501838
330874249,52.5169714,13.4150578,Berliner Feuerwehr - Lehrrettungswache Mitte,Voltairestraße 2,10179.0,Berlin,1100310
330880463,52.5265525,13.3891997,Freiwillige Feuerwehr Mitte,,,,1100309
332612710,52.6065955,13.2114269,Freiwillige Feuerwehr Heiligensee,,,,12400617
332614340,52.5707478,13.2289022,Freiwillige Feuerwehr Tegelort,,,,12400616
339387524,52.6111032,13.4830902,Freiwillige Feuerwehr Karow,,,,3300413
342953229,52.4642446,13.512305,Freiwillige Feuerwehr Oberschöneweide,Siemensstraße 22,12459.0,Berlin,9200510
343472804,52.484016,13.5206765,Berufsfeuerwache Karlshorst,,,,11501339
450174418,52.4838386,13.520221,Freiwillige Feuerwehr Karlshorst,,,,11501339
577355077,52.5406884,13.3671406,,Fennstraße 9,13353.0,Berlin,1300836
674086104,52.5448495,13.2103551,Freiwillige Feuerwehr Spandau-Nord,,,,5100313
944868560,52.627041,13.484559,GZS,,,,3100103
2768370495,52.3757756,13.648458,Freiwillige Feuerwehr Schmöckwitz,Adlergestell 782,12527.0,Berlin,9301228
3354419269,52.5017233,13.3325773,Berufsfeuerwache Ranke,Rankestraße 10-12,10789.0,Berlin,4501042
4314579068,52.4689781,13.4384198,Freiwillige Feuerwehr Neukölln,,,,8100208
4706714959,52.5095529,13.5564884,Freiwillige Feuerwehr Biesdorf,Alt-Biesdorf 58,12683.0,Berlin,10300733
5764101263,52.495526,13.4032215,Freiwillige Feuerwehr Urban,,,,2200210
5764101264,52.4955406,13.4029642,Berufsfeuerwache Urban,,,,2200210
6621423513,52.5875384,13.3410448,Freiwillige Feuerwehr Wittenau,Roedernallee 55,13437.0,Berlin,12100205
6621423514,52.4296508,13.3802828,Freiwillige Feuerwehr Marienfelde,Wilhelm-von-Siemens-Straße 15,12277.0,Berlin,7501133
6621423515,52.5866698,13.2860944,Freiwillige Feuerwehr Tegel,Berliner Straße 16,13507.0,Berlin,12200515
6621423516,52.5091185,13.2960373,Freiwillige Feuerwehr Suarez,Suarezstraße 9-10,14057.0,Berlin,4300416
6621423517,52.5117447,13.4446081,Freiwillige Feuerwehr Friedrichshain,Rüdersdorfer Straße 57,10243.0,Berlin,2400624
10039426205,52.5564395,13.4598304,Freiwillige Feuerwehr Weißensee,,,,3500933
11208742256,52.5224588,13.3330505,Freiwillige Feuerwehr Berlin-Moabit,,,,1200522
11208742257,52.5226342,13.3330907,Berufsfeuerwache Berlin-Moabit,,,,1200522
