id,lat,lon,name,street,zip_code,city,planning_area_id
167048488,52.5015358,13.4333992,Nestwärme Kita,,,,2300315
268915153,52.55563,13.4305,Klax Grundschule Brauhausstraße,,,,3500934
268915158,52.4767411,13.3258251,Kita Fehlerstraße 2,Fehlerstraße 2,12161.0,Berlin,7300515
268915167,52.4685223,13.3325044,Ganztagsbetreuung der Fläming-Grundschule,Rheinstraße 54,12161.0,Berlin,7300618
268915173,52.5398837,13.3496243,kidsweb.de Kindertagesbetreuung,,,,1401046
268915174,52.4978346,13.3019467,ABC-Kindergarten - Sabine Erdmann,,,,4500938
268915177,52.5006833,13.3587022,EKG - An der Apostelkirche 1,Kurfürstenstraße 139,10785.0,,7100103
268915180,52.5916324,13.3258382,EKG - Alt-Wittenau 64,Alt-Wittenau 64,13437.0,Berlin,12500927
268915183,52.5504682,13.2698094,EKG - An der Mäckeritzbrücke 4,,,,12200414
268915185,52.617587,13.3155199,EKG - Berliner Straße 120,,,,12400723
268915194,52.4473892,13.3571434,EKG - Ellwanger Straße 9-11,,,,6100205
268915196,52.4791322,13.3211029,EKG - Detmolder Straße 17,,,,4501151
268915198,52.4389996,13.3866799,EKG - Friedenstraße 20,,,,7501133
268915205,52.3853393,13.4057689,Ev. Teilzeit-Kita Goltzstraße,Goltzstraße 33,12307.0,Berlin,7601547
268915206,52.5602005,13.3607718,EKG - Gemeindezentrum Schillerhöhe,,,,1400940
268915210,52.504493,13.2870406,Kita der Evangelischen Kirchengemeinde Am Lietzensee,Herbartstraße 4,14057.0,Berlin,4300415
268915211,52.4823986,13.2910551,EKG - Hohenzollerndamm,,,,4400830
268915214,52.447636,13.3274376,Lemmis Kreativ-Kita,Gravelottestraße 10,12167.0,Berlin,6100206
268915217,52.4600379,13.3784317,EKG - Kaiserin-Augusta-Straße 23,Kaiserin-Augusta-Straße 23,12103.0,Berlin,7400824
268915220,52.453963,13.144791,Miniclub,Kladower Damm 369,14089.0,Berlin,5400944
268915222,52.5118671,13.1858413,Eltern-Kind-Gruppe,Jaczostraße 54,13595.0,Berlin,5200634
268915227,52.4226447,13.4505383,EKG - Martin-Luther-King-Weg 6,,,,8200833
268915231,52.5082915,13.3139551,Kindergarten Trinitatis,Leibnizstraße 79,10625.0,Berlin,4300623
268915236,52.4594287,13.286726,Teilzeit-KiTa Martin-Niemöller-Haus,Pacelliallee 61,14195.0,Berlin,6400844
268915238,52.4376136,13.2192643,EKG - Matterhornstraße 37,,,,6400838
268915239,52.4939543,13.3268807,EKG - Nassauische Straße 66,,,,4501149
268915241,52.55894,13.1822088,EKG - Schwanter Weg 3,,,,5100105
268915244,52.5414858,13.267403,EKG - Schuckertdamm 336-338,,,,5300839
268915246,52.4561079,13.3186112,Eltern-Kind-Gruppe Matthäus,Schloßstraße 44C,12165.0,Berlin,6100101
268915247,52.4053643,13.4022689,EKG - Rackebüller Weg 64,Rackebüller Weg 64,,,7601442
268915250,52.4653362,13.1275935,Kita der Evangelischen Kirchengemeinde Am Groß-Glienicker See,Waldallee 3,14089.0,Berlin,5400943
268915251,52.6087149,13.3359912,EKG - Titiseestraße 7,,,,12601032
268915258,52.4947329,13.3392604,EKT - Abrakadabra e.V.,Motzstraße 63,10777.0,Berlin,7100101
