id,lat,lon,name,street,zip_code,city,planning_area_id
29071031,52.5312448,13.3475136,Bruno-Lösche-Bibliothek,Perleberger Straße 33,10559.0,Berlin,1200623
60848456,52.5307772,13.4708382,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369.0,Berlin,11300617
89275152,52.5155636,13.4041356,Berliner Stadtbibliothek,Breite Straße 30-36,10178.0,Berlin,1100207
203557001,52.5281578,13.538715,Stadtteilbibliothek Erich Weinert,Helene-Weigel-Platz 4,12681.0,Berlin,10100312
256922190,52.5375039,13.2871861,Stadtteilbibliothek Halemweg,Halemweg 18,13627.0,Berlin,4100101
257708789,52.5361334,13.2013864,Bezirkszentralbibliothek Spandau,Carl-Schurz-Straße 13,13597.0,Berlin,5100316
263679066,52.54722,13.556704,Bezirkszentralbibliothek Mark Twain,Marzahner Promenade 52-54,12679.0,Berlin,10100210
264776935,52.5068092,13.369701,Ibero-Amerikanisches Institut,Potsdamer Straße 37,10785.0,,1100102
266540876,52.5316059,13.3986959,Bezirkszentralbibliothek Philipp Schaeffer,Brunnenstraße 181,10119.0,Berlin,1100415
266629485,52.5055546,13.6127893,Stadtteilbibliothek Mahlsdorf,Alt-Mahlsdorf 24-26,12623.0,Berlin,10400939
271685475,52.4518573,13.2883334,Philologische Bibliothek,Habelschwerdter Allee 45,14195.0,Berlin,6400843
271875991,52.4538456,13.2911582,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",Arnimallee 3,14195.0,Berlin,6400843
281375131,52.5477387,13.4528367,Wolfdietrich-Schnurre-Bibliothek,Bizetstraße 41,13088.0,Berlin,3500936
293137702,52.616548,13.4917041,Stadtteilbibliothek Karow,,,,3300411
308811018,52.5492616,13.414088,Bettina von Arnim Bibliothek,Schönhauser Allee 75,10439.0,Berlin,3601346
323991172,52.5134373,13.4813674,Egon-Erwin-Kisch-Bibliothek,Frankfurter Allee 149,,Berlin,11300722
333343782,52.4819616,13.4327729,Helene-Nathan-Bibliothek,Karl-Marx-Straße 66,12043.0,Berlin,8100206
345162417,52.4577566,13.3196239,Ingeborg-Drewitz-Bibliothek,Grunewaldstraße 3,12165.0,Berlin,6100102
439229151,52.4548013,13.6214013,Johannes-Bobrowski-Bibliothek,Peter-Hille-Straße 1,12587.0,Berlin,9501737
444731308,52.3879007,13.3974218,Stadtteilbibliothek Lichenrade,Steinstraße 41,12307.0,Berlin,7601544
444994924,52.5171056,13.308865,Heinrich-Schulz-Bibliothek,Otto-Suhr-Allee 96,10585.0,Berlin,4300619
482710823,52.4310682,13.5314264,Zweigbibliothek Naturwissenschaften,Rudower Chaussee 26,12489.0,Berlin,9200715
486517226,52.4554005,13.5247238,Bibliothek Campus Wilhelminenhof,,,,9200511
507660382,52.5280812,13.5120545,KEH Bibliothek,,,,11300721
529557633,52.4713483,13.313449,Eberhard-Alexander-Burgh-Bibliothek,,,,4400834
560823423,52.4851862,13.3827588,Friedrich-von-Raumer-Bibliothek,Dudenstraße 18-20,10965.0,Berlin,2200209
586328524,52.4571611,13.2920178,Bibliothek des John-F.-Kennedy-Instituts,Lansstraße 7-9,14195.0,Berlin,6400843
618048288,52.6356441,13.4938846,Stadtteilbibliothek Buch,,,,3100103
639552895,52.5164298,13.3932385,HU Berlin – Zweigbibliothek Rechtswissenschaft,Bebelplatz 1,10117.0,Berlin,1100206
665121783,52.5261368,13.3937348,Comicbibliothek Renate,Tucholskystraße 32,10117.0,Berlin,1100309
737212457,52.5418164,13.440864,"Stadtbibliothek Pankow, Hauptbibliothek Heinrich Böll",Greifswalder Straße 87,10409.0,Berlin,3601449
795561505,52.4775843,13.2878878,Adolf-Reichwein-Bibliothek,Berkaer Straße 7,14199.0,Berlin,4400830
1070809009,52.5190211,13.3928706,Zweigbibliothek Klassische Archäologie,Unter den Linden 6,10117.0,Berlin,1100206
1070809020,52.5183016,13.386705,Zweigbibliothek Fremdsprachliche Philologien / Teilbibliothek Großbritannien-Zentrum,Dorotheenstraße 65,10117.0,Berlin,1100206
1346361343,52.4978553,13.5209225,Bodo-Uhse-Bibliothek,Erich-Kurz-Straße 9,10319.0,Berlin,11401137
1356847676,52.568454,13.4123577,Janusz-Korczak-Bibliothek,Berliner Straße 120,13187.0,Berlin,3400723
1362209543,52.5145468,13.2939985,Ingeborg-Bachmann-Bibliothek,Nehringstraße 10,14059.0,Berlin,4300413
1425169658,52.4613917,13.2947799,Bibliothek des Friedrich-Meinecke-Instituts und des Kunsthistorisches Instituts,Koserstraße 20,14195.0,Berlin,6400844
1472976631,52.4925504,13.4362136,Else-Ury-Bibliothek (Familienbibliothek Glogauer Straße),Glogauer Straße 13,10999.0,Berlin,2300418
1481377095,52.5121417,13.3262714,Die Bibliothek Wirtschaft und Management,Straße des 17. Juni 135,10623.0,Berlin,4300622
1670728349,52.4690497,13.4339544,Fachbibliothek Kurdologie,Emser Straße 26,12051.0,Berlin,8100208
1684737379,52.5286995,13.4254805,Bibliothek der Freien,Greifswalder Straße 4,10405.0,Berlin,3701660
1685672555,52.5127362,13.3957618,Archiv für Alternativkultur,Mohrenstraße 41,10117.0,Berlin,1100206
1818848292,52.5106578,13.2586101,Johanna-Moosdorf-Bibliothek,Westendallee 45,14052.0,Berlin,4200309
1863570970,52.5328818,13.4321724,Kurt-Tucholsky-Bibliothek,Esmarchstraße 18,10407.0,Berlin,3701660
1874529829,52.489441,13.3118736,Artothek,Hohenzollerndamm 176,10713.0,Berlin,4501146
1933757018,52.449221,13.2769658,"Bibliothek für Sozialwissenschaften und Osteuropastudien, Stiller Lesesaal",Ihnestraße 21,14195.0,Berlin,6400843
2094774970,52.5085131,13.3669367,Kunstbibliothek,Matthäikirchplatz 6,10785.0,Berlin,1100102
2270319509,52.635613,13.3029182,Das Buddhistische Haus,,,,12400721
2402339489,52.4900049,13.4056371,La Rayuela,Südstern 2,10961.0,Berlin,2200210
2479053622,52.5021314,13.3248746,"Institut Français Berlin, Mediathek",Kurfürstendamm 211,10719.0,Berlin,4501041
