id,lat,lon,name,street,zip_code,city,planning_area_id
73696610,52.5076051,13.3629858,Gedenkstätte Deutscher Widerstand,,,,1100102
84644782,52.5048708,13.3822143,"Dokumentationszentrum Flucht, Vertreibung, Versöhnung",Stresemannstraße 90,10963.0,Berlin,2100101
260768839,52.5096032,13.37351,Deutsche Kinemathek - Museum für Film und Fernsehen,Potsdamer Straße 2,10785.0,Berlin,1100102
268591806,52.4583565,13.2889441,Das Museum der Domäne Dahlem,,,,6400844
281391655,52.5145073,13.487485,Stasimuseum,Ruschestraße 103,10365.0,Berlin,11300724
292700476,52.5863068,13.2863134,Feuerwehrmuseum Berlin,Veitstraße 5,13507.0,Berlin,12200515
292738889,52.5099308,13.3872552,Museum für Kommunikation,Leipziger Straße 16,10117.0,Berlin,1100205
297049901,52.4453638,13.5790965,Heimatmuseum Köpenick,,,,9401534
335860469,52.4606001,13.2929563,Ethnologisches Museum,,,,6400844
340388625,52.5087884,13.378434,Deutschlandmuseum,Leipziger Platz 7,10117.0,Berlin,1100205
344381412,52.5412184,13.2138542,Enthüllt. Berlin und seine Denkmäler,Am Juliusturm 64,13599.0,Berlin,5300736
355500002,52.4204028,13.3684502,Erinnerungsstätte Notaufnahmelager Marienfelde,Marienfelder Allee 66/80,12277.0,Berlin,7601236
369037135,52.5460206,13.3479549,Anti-Kriegs-Museum,Brüsseler Straße 21,13353.0,Berlin,1400942
429739550,52.5219182,13.3799981,Mori-Ôgai-Gedenkstätte,Luisenstraße 39,10117.0,Berlin,1100308
448810258,52.4772885,13.4390108,Puppentheater-Museum Berlin,Karl-Marx-Straße 135,12043.0,Berlin,8100416
453378190,52.5093664,13.3797713,Die Mauer | The Wall,Leipziger Platz 11,10117.0,Berlin,1100205
498822384,52.5478117,13.3892456,Berliner Unterwelten-Museum,Brunnenstraße 105,13355.0,Berlin,1300834
507083358,52.4354496,13.2603049,Heimatmuseum Zehlendorf,Clayallee 355,14169.0,Berlin,6400841
538692583,52.5304903,13.3791152,Museum für Naturkunde,Invalidenstraße 43,10115.0,Berlin,1100308
540613216,52.5143734,13.4024859,Galgenhaus Stadtmuseum Berlin,Brüderstraße 10,10178.0,Berlin,1100207
540845281,52.4476818,13.6440642,Museum im alten Wasserwerk,,,,9501737
545060231,52.514289,13.3924292,Hugenottenmuseum Berlin,,10117.0,Berlin,1100206
545074057,52.5126755,13.3927272,Parlamentshistorische Ausstellung des Deutschen Bundestages,,10117.0,Berlin,1100206
559613172,52.4434519,13.5022281,Heimatmuseum Treptow,,,,9100407
577577509,52.5177979,13.4561865,Jugend[widerstands]museum,Rigaer Straße 9/10,10247.0,,2500727
611632754,52.4829728,13.3871677,Polizeimuseum,Platz der Luftbrücke 6,12101.0,Berlin,7400721
632148988,52.5006018,13.4182215,FHXB Friedrichshain-Kreuzberg Museum,Adalbertstraße 95a,10999.0,Berlin,2300314
661126964,52.5171949,13.304034,Keramik-Museum Berlin,,,,4300621
663295703,52.556125,13.3859968,Labyrinth Kindermuseum,Osloer Straße 12,13359.0,Berlin,1300732
701057032,52.417445,13.495073,Heimatmuseum Rudow,,,,8401243
766728477,52.4903183,13.4125151,Fichtebunker,,,,2200212
766875174,52.4381707,13.5407192,Anna-Seghers-Gedenkstätte,Anna-Seghers-Straße 81,12489.0,Berlin,9200716
849063657,52.4704996,13.3037544,WasserWerkstatt des WasserMuseum e.V.,Dillenburger Straße 57 (Tor 2),14199.0,Berlin,4400832
1257857022,52.5029909,13.4808551,Museum Lichtenberg im Stadthaus,Türrschmidtstraße 24,10317.0,Berlin,11400927
1260572076,52.5763987,13.4063769,Die Pankower Machthaber,,,,3400722
1270188822,52.517579,13.4419522,Computerspielemuseum,Karl-Marx-Allee 93a,10243.0,Berlin,2400522
1358325721,52.5173541,13.2499733,Berliner U-Bahn-Museum,,14052.0,Berlin,4200203
