id,lat,lon,name,street,zip_code,city,planning_area_id
259845846,52.4913696,13.3931533,Junction-Bar,Gneisenaustraße 18,10961.0,Berlin,2200211
262818281,52.5232268,13.4164254,ASeven Club,Alexanderstraße 7,10178.0,Berlin,1100310
339749949,52.5046782,13.4490212,Matrix,Warschauer Platz 18,10245.0,Berlin,2500835
360111407,52.4992172,13.4450748,Lido,Cuvrystraße 7,10997.0,Berlin,2300419
373095675,52.5441625,13.3787124,Humboldthain Club,Hochstraße 46,13357.0,Berlin,1300836
383210462,52.5045582,13.4489112,Narva Lounge,,,,2500835
410135945,52.4974686,13.4310967,Wild at Heart,,,,2300417
429735547,52.5264743,13.39691,Clärchens Ballhaus,Auguststraße 24,10117.0,Berlin,1100309
461623768,52.5179462,13.441495,Sun Chiller Lounge,,,,2400522
475153994,52.5086309,13.4363946,Postbahnhof,Straße der Pariser Kommune 8,10243.0,Berlin,2400625
485353651,52.49694,13.4540533,arena Berlin,Eichenstraße 4,12435.0,Berlin,9100101
485354535,52.4973833,13.4530728,Glashaus,,,,9100101
485640732,52.4973901,13.4653065,Zur Wilden Renate,Alt-Stralau 70,10245.0,Berlin,2500835
492849637,52.5076615,13.454537,RAW 99,Revaler Straße 99,10245.0,Berlin,2500834
621429565,52.5091003,13.4560428,Berndhain,Simon-Dach-Straße 32,10245.0,Berlin,2500834
652884290,52.5336193,13.4007592,Calabash,Veteranenstraße 21,10119.0,Berlin,1100416
667842214,52.5110197,13.4169088,Sage,Köpenicker Straße 76,10179.0,Berlin,1100313
670069373,52.53567,13.401179,NBI Club,Zionskirchstraße 5,10119.0,Berlin,1100416
729294555,52.5112074,13.4169157,Kit Kat Club,Köpenicker Straße 76,10179.0,Berlin,1100313
736787851,52.526786,13.4107036,1820,Rosa-Luxemburg-Straße 41,10178.0,Berlin,1100310
739305494,52.4655581,13.3860876,Insomnia,Alt-Tempelhof 17,12099.0,Berlin,7400927
821646254,52.5156316,13.452579,Abgedreht Klub,,10243.0,Berlin,2400624
898983650,52.4972653,13.2932442,K133 Night Lounge,Kurfürstendamm 133/134,10711.0,Berlin,4500938
910429971,52.5320796,13.380294,Ballhaus Berlin,Chausseestraße 102,10115.0,Berlin,1100308
918183904,52.5161783,13.3899473,Club R8,Rosmarinstraße 8,10117.0,Berlin,1100206
959344243,52.4794629,13.4337837,SchwuZ,Rollbergstraße 26,12053.0,Berlin,8100206
959625062,52.4852704,13.3534485,Havanna,Hauptstraße 30,10827.0,Berlin,7200409
975700421,52.4864896,13.4217418,Huxleys Neue Welt,Hasenheide 107-113,10967.0,Berlin,8100101
979969868,52.5030121,13.4081361,Ritter Butzke,Ritterstraße 26,10969.0,Berlin,2100104
984158735,52.5050011,13.3280883,The Pearl,Fasanenstraße 81,10623.0,Berlin,4300622
988192687,52.4835867,13.390553,Silverwings,,,,7400721
1077583254,52.5054899,13.3022495,Golden Gate,Kaiser-Friedrich-Straße 63,10627.0,Berlin,4300416
1144034120,52.5229379,13.4034635,am to pm,Am Zwirngraben 2,10178.0,Berlin,1100310
1145853246,52.5217615,13.4075481,Hafenbar,Karl-Liebknecht-Straße 11,10178.0,Berlin,1100310
1162812586,52.5229029,13.4164231,Weekend Club,Alexanderstraße 7,10178.0,Berlin,1100310
1165008486,52.5395232,13.4142448,Soda Club,Knaackstraße 97,10435.0,Berlin,3701555
1228317932,52.5114893,13.3084909,Tabu,Bismarckstraße 90,10627.0,Berlin,4300623
1255437354,52.553279,13.415789,Club Maitresse,Wisbyer Straße 3,10439.0,Berlin,3601243
1282629054,52.5010412,13.445176,Watergate,Falckensteinstraße 49,10997.0,Berlin,2300419
1310466406,52.5121321,13.3932376,BRICKS Club,Mohrenstraße 30,10117.0,Berlin,1100207
1361259244,52.503615,13.448261,Die Busche,Warschauer Platz 18,10245.0,Berlin,2500835
1370001597,52.5032996,13.4087274,Prince Charles,Prinzenstraße 85f,10969.0,Berlin,2100104
1402543376,52.5040556,13.3379413,Puro Sky Lounge Berlin,Tauentzienstraße 9-12,10789.0,Berlin,4501042
1429037824,52.4965979,13.4203676,Das Hotel,Mariannenstraße 26 A,10999.0,Berlin,2300417
1450635676,52.5271131,13.4116224,Roter Salon,Rosa-Luxemburg-Platz 1,10178.0,Berlin,1100310
1485800803,52.5136642,13.4727613,Triplex Club,Frankfurter Allee 98,10247.0,Berlin,2500832
1667559178,52.5007558,13.4414613,Bi Nuu,,,,2300316
1693456696,52.4192321,13.4982998,ReMix,,,,8401243
1724527904,52.531751,13.499794,Tollhaus,,,,11300721
1820069776,52.5235538,13.4069893,b-flat,Dircksenstraße 40,10178.0,Berlin,1100309
1882869375,52.4990172,13.3424928,Connection,Fuggerstraße 33,10777.0,Berlin,7100101
1897123562,52.5029678,13.4411582,FluxBau,,,,2300316
1934211315,52.504062,13.3224146,Vagabund Club,Knesebeckstraße 77,10623.0,Berlin,4501041
1941952571,52.4993312,13.4242521,Bulbul Berlin,Skalitzer Straße 114,10999.0,Berlin,2300315
1954332576,52.5344022,13.3597082,Slaughterhouse,Lehrter Straße 35,10557.0,Berlin,1200624
2126202628,52.551145,13.3672515,Orchidea,Reinickendorfer Straße 74,13347.0,Berlin,1401043
2147941967,52.5000715,13.4348491,Privatclub,Skalitzer Straße 85-86,10997.0,Berlin,2300315
2147953685,52.5029659,13.4474984,Metrom Lounge,,,,2500835
2188253833,52.5008789,13.3311044,The Door,Joachimsthaler Straße 25,10719.0,Berlin,4501042
2347398754,52.5019061,13.3308361,Maxxim Club,Joachimsthaler Straße 15,10719.0,Berlin,4501042
2381034158,52.4961326,13.4351165,Reset,,,,2300418
2435092394,52.4643506,13.4333842,Hole 44,Hermannstraße 146,12051.0,Berlin,8100209
2665268971,52.502437,13.4311437,Auster-Club,,,,2300315
2774920018,52.4810266,13.4293652,The Zone,,,,8100206
2876098523,52.5105954,13.4197888,Ohm,Köpenicker Straße 70,10179.0,Berlin,1100313
2968181705,52.5126865,13.4247322,Säälchen,Holzmarktstraße 25,10243.0,Berlin,2400623
