id,lat,lon,name,street,zip_code,city,planning_area_id
60775323,52.5407412,13.4866016,Reichenberger Apotheke,Reichenberger Straße 3,13055.0,Berlin,11200513
60848447,52.5318353,13.4696536,Castello-Apotheke,,,,11300616
60852928,52.5275552,13.4685134,Rosen Apotheke,Rudolf-Seiffert-Straße 11,10369.0,Berlin,11300618
68437791,52.4893898,13.4505704,Margareten-Apotheke,Karl-Kunger-Straße 46,12435.0,Berlin,9100101
69226035,52.5105088,13.3959459,Leipziger Apotheke,Leipziger Straße 43,10117.0,Berlin,1100207
76507297,52.4815485,13.3190694,Preußen-Apotheke,Paretzer Straße 2,10713.0,Berlin,4501148
76519952,52.4865543,13.3314064,Bundes-Apotheke,Bundesallee 177,10715.0,Berlin,4501153
76596388,52.5431994,13.4423197,Mühlenberg-Apotheke,Thomas-Mann-Straße 1,10409.0,Berlin,3601449
78244254,52.5071247,13.3947881,Axels Apotheke,Rudi-Dutschke-Straße 8,,,2100102
79603436,52.5633045,13.3287743,Diamant Apotheke,Kurt-Schumacher-Damm 1-15,13405.0,Berlin,12200309
79606682,52.5668918,13.3170343,Apotheke am Markt Reinickendorf,,13405.0,Berlin,12200309
79624638,52.5701291,13.3213944,Barlach Apotheke,Auguste-Viktoria-Allee 81,13403.0,Berlin,12200309
79688159,52.4815398,13.3289844,Park-Apotheke,Bundesallee 55,10715.0,Berlin,4501151
81362602,52.5104923,13.2716035,Kranich-Apotheke,Lindenallee 28,14050.0,Berlin,4200310
87036261,52.5306975,13.3841248,Nordland Apotheke,Invalidenstraße 114,10115.0,Berlin,1100415
87040402,52.5117692,13.3868843,Friedrichstadt Apotheke,Glinkastraße 4,10117.0,Berlin,1100207
89274697,52.521847,13.4098188,Panorama Apotheke,Panoramastraße 1,10178.0,Berlin,1100310
89274888,52.519834,13.4111159,Bezirksapotheke am Roten Rathaus,Rathausstraße 5,10178.0,Berlin,1100310
89275182,52.5133809,13.4053524,Fischerinsel-Apotheke,Gertraudenstraße 19,10178.0,Berlin,1100312
203469159,52.5268708,13.5425973,Apotheke am Springpfuhl,Helene-Weigel-Platz 11,12681.0,Berlin,10100312
203469194,52.5276071,13.5421939,Poseidon-Apotheke,Helene-Weigel-Platz 10,12681.0,Berlin,10100312
203474469,52.5204665,13.5558118,Skarabäus-Apotheke,Oberfeldstraße 30,12683.0,Berlin,10300731
250195921,52.5264625,13.3501221,Alte Roland-Apotheke,Turmstraße 15,10559.0,Berlin,1200625
251737915,52.54973,13.3498263,Virchow Apotheke,Seestraße 99,13353.0,Berlin,1400938
254307048,52.5069033,13.3218338,Wotan Apotheke,Grolmanstraße 51,10623.0,Berlin,4300624
255825174,52.4818892,13.440147,Wildenbruch Apotheke,Sonnenallee 105,12045.0,Berlin,8100312
255825368,52.4803687,13.4394937,Frühlicht-Apotheke,Anzengruberstraße 7,12043.0,Berlin,8100415
259081139,52.549263,13.4133047,Nordring Apotheke,Schönhauser Allee 118,10437.0,Berlin,3601142
259081143,52.5509103,13.4079077,Vita Apotheke,Schivelbeiner Straße 33,10439.0,Berlin,3601141
260865620,52.4123291,13.5725477,Taut-Apotheke,,,,9301024
261963290,52.4905931,13.456649,Grüne Apotheke,Elsenstraße 111,12435.0,Berlin,9100101
262213475,52.5241575,13.4800051,Möllendorff-Apotheke,Möllendorffstraße 47,10367.0,Berlin,11300620
263699380,52.517681,13.5829,Robinson Apotheke,Lion-Feuchtwanger-Straße 22,12619.0,Berlin,10200629
266630604,52.5111499,13.6121832,Georginen-Apotheke,Treskowstraße 76,12623.0,Berlin,10400939
266632232,52.509361,13.6138214,Mahlsdorfer Apotheke,Hönower Straße 54,12623.0,Berlin,10400939
266674656,52.5071368,13.592044,Neue Medikus Apotheke,Myslowitzer Straße 49,12621.0,Berlin,10400836
267366952,52.5360082,13.4270624,Wins-Apotheke,Winsstraße 45,10405.0,Berlin,3701658
267860831,52.5372848,13.1879163,Seegefelder-Apotheke,Seegefelder Straße 63,13583.0,Berlin,5100316
268636979,52.4985391,13.3071113,Brandenburg-Apotheke,Brandenburgische Straße 37,10707.0,Berlin,4500939
268726812,52.4789497,13.4451781,Rosegger-Apotheke,Sonnenallee 144,12059.0,Berlin,8100415
268844381,52.6128103,13.2315014,Storchen-Apotheke,Schulzendorfer Straße 70,13503.0,Berlin,12400617
268844523,52.607565,13.2348292,Apotheke am Markt,Bekassinenweg 18,13503.0,Berlin,12400619
