id,lat,lon,name,street,zip_code,city,planning_area_id
29040731,52.5347753,13.3587758,Sultan Ahmed Camii,,,,1200624
29209127,52.495182,13.390379,,,,,2200210
248702772,52.6010205,13.2966171,Martin-Luther-Kapelle,,,,12500824
289795838,52.5225069,13.1954192,St. Wilhelm,Weißenburger Straße 9-11,13595.0,Berlin,5200630
292201931,52.4475005,13.623567,Stadtmission Gemeinde Friedrichshagen,Bölschestraße 135,12587.0,Berlin,9501737
332997622,52.5471682,13.2371169,Evangelische Weihnachtskirche,Haselhorster Damm 54-58,13599.0,Berlin,5300737
333459517,52.4889329,13.3936149,Evangelisch Freikirchliche Gemeinde Kreuzberg,Bergmannstraße 22,10961.0,Berlin,2200211
336571772,52.4441803,13.2410362,Adventgemeinde Waldfriede,Argentinische Allee 40,14163.0,Berlin,6400838
355960992,52.5165081,13.3779152,Raum der Stille,Pariser Platz 8,10117.0,Berlin,1100206
395708753,52.5645585,13.3963359,Evangelische Kirchengemeinde Martin Luther,Pradelstraße 11,13187.0,Berlin,3400721
441734644,52.4759311,13.44285,Freie evangelische Bibel-Baptisten-Gemeinde,Richardstraße 28,12043.0,Berlin,8100416
474359499,52.4567902,13.5821835,Adventgemeinde Köpenick,,,,9501940
494093353,52.5177789,13.4563223,Galiläa-Kirche,,,,2500727
535628093,52.4981271,13.4012798,Inssan-Moschee,,,,2100106
540969924,52.520803,13.3899554,Quaker Meeting,Planckstraße 20,10117.0,Berlin,1100206
601062306,52.6417777,13.4965275,Mater Dolorosa Kirche,Röbellweg 61,13125.0,Berlin,3100101
676083788,52.5397508,13.3820567,Foguang-Shan Tempel,Ackerstraße 86,13355.0,Berlin,1300835
701838306,52.5751911,13.3499542,Evangelisch-Freikirchliche Gemeinde K.d.ö.R.,Alt-Reinickendorf 32,13407.0,Berlin,12100205
945925159,52.4867779,13.4207705,Sri Ganesha Hindu Tempel,Hasenheide 106,10967.0,Berlin,8100101
948654862,52.4085446,13.4812755,Gemeindezentrum ev. Kirchengemeinde Rudow,Geflügelsteig 22-28,12355.0,Berlin,8401242
977654857,52.6185361,13.48765,,,,,3300411
1026420272,52.5504382,13.2696435,,,,,12200414
1135452610,52.5618242,13.1990851,Katholische Gemeinde St. Lambertus,Cautiusstraße 6,13587.0,Berlin,5100105
1232194996,52.4585319,13.3277379,Thomas Gemeinde,Bergstraße 92,12169.0,Berlin,6100208
1256840401,52.5363614,13.3995255,ChristusKirche Berlin-Mitte,Anklamer Straße 31,10115.0,Berlin,1100416
1274338417,52.6175317,13.3110728,Ev. Kirchengem. Hermsdorf,Wachsmuthstraße 24,13467.0,Berlin,12400723
1309021897,52.5122972,13.4654696,Buddhistisches Zentrum Bodhicharya Deutschland e.V.,Kinzigstraße 25,10247.0,Berlin,2500831
1313117575,52.5263666,13.3634646,Stadtmission Gemeinde im Zentrum am Hauptbahnhof,Lehrter Straße 68,10557.0,Berlin,1200627
1370499165,52.4552861,13.3160909,Kirche des Nazareners,,,,6100101
1392943281,52.4716845,13.3275731,Evangelische Gemeinschaft Friedenau,Friedrich-Wilhelm-Platz 7,12161.0,Berlin,7300515
1404465171,52.5235611,13.2012548,Königreichssaal Jehovas Zeugen,Weißenburger Straße 35,13595.0,Berlin,5200631
1404484782,52.5276681,13.1824095,Königreichssaal Jehovas Zeugen,Seeburger Straße 32E,13581.0,Berlin,5200629
1505231652,52.4436435,13.5739658,Schloßkirche,,,,9401534
1556403863,52.5527163,13.4403343,Baptisten-Gemeinde,,,,3500934
1602071051,52.5659379,13.3945595,Franziskanerkloster,,13187.0,Berlin,3400721
1813041607,52.5059403,13.3457893,St. Franziskus - Kapelle,,,,1100101
1891429795,52.5751024,13.2752084,Stadtmission Gemeinde Tegel,Billerbecker Weg 112-114,13507.0,Berlin,12200412
1895341034,52.5324743,13.3515831,Apostolische Gemeinde Berlin,,,,1200623
1903040914,52.5860016,13.3990095,Adventgemeinde Pankow,Eichenstraße 61,13156.0,Berlin,3200205
1976696605,52.4718577,13.445666,Gazi Osman Pasa Moschee eV,Schöneweider Straße 11,12055.0,Berlin,8100417
2145256562,52.4925385,13.4125654,Buddhistisches Tor Berlin,,10967.0,,2200213
2281044959,52.4767583,13.4419312,Evangelische Reformierte Bethlehemsgemeinde,Richardstraße 97,12043.0,Berlin,8100416
2299953817,52.551148,13.3564321,Sultan Abdulhamid Han Moschee,Amsterdamer Straße 17A,13347.0,Berlin,1401048
2303055234,52.548976,13.3658262,International Christian Revival Church,,,,1401043
2412265590,52.5008249,13.4216124,International Zen Temple,,,,2300314
2439362666,52.5134409,13.4723349,Stadtmission Gemeinde Frankfurter Allee,Frankfurter Allee 96,10247.0,Berlin,2500832
2478866162,52.5265817,13.1838279,Markaz Rasulallah e.V.,Seeburger Straße 65,13581.0,Berlin,5200630
2501779747,52.5539109,13.386745,Stadtmission Gemeinde Wedding,Stettiner Straße 45,13357.0,Berlin,1300733
2529484537,52.5329001,13.3519377,Indonesisches Weisheits- & Kulturzentrum,Feldzeugmeisterstraße 1,10557.0,Berlin,1200623
2625794374,52.5653374,13.4068043,Paulus-Gemeinde Berlin-Pankow e.V.,Florastraße 35,13187.0,Berlin,3400723
2699488273,52.5958406,13.3601004,Evangelisch Apostolische Johannes Gemeinde,,,,12601235
2759261083,52.4860503,13.4273767,Hamidiye Camii,Sonnenallee 18,12047.0,Berlin,8100314
2822957669,52.4784894,13.4388682,Alevitischer Kulturverein Berlin e.V. Oniki Imam Yolu/Weg der Zwölf Imame,Richardstraße 110,12043.0,Berlin,8100415
2848134843,52.4247877,13.4025532,Islamisches Imam Hassan Werk e.V.,Im Lesachtal 24,12107.0,Berlin,7501134
2865873505,52.4283802,13.4554551,Martin Luther King Kirche,Martin-Luther-King-Weg 8,12351.0,Berlin,8300934
2867830690,52.5604095,13.2090936,,Chamissostraße 4,13587.0,Berlin,5100104
2876493701,52.395433,13.159289,Weidenkirche,Kremnitzufer 9,14109.0,Berlin,6400735
3039050111,52.5568446,13.4666789,Jagannatha Tempel Berlin,Berliner Allee 209,13088.0,Berlin,3500933
3039050989,52.5486002,13.4568597,Stadtmission Gemeinde Bizetstraße,Bizetstraße 75,13088.0,Berlin,3500936
3145126656,52.4716001,13.3368317,Valide Sultan Camii,,,,7300618
3167606461,52.4616075,13.4177462,Serbisch-orthodoxe Christi-Auferstehungs-Kirche,Schwanheimer Straße 11,,,7400928
3332061408,52.5587606,13.3746465,Interkulturelles Zentrum für Dialog und Bildung e.V.,Drontheimer Straße 32A,13359.0,Berlin,1300730
3401492942,52.4829515,13.3494207,Alt-Katholische Gemeinde Berlin,Hauptstraße 48,10827.0,Berlin,7200409
3410334471,52.5116982,13.4110167,Gereja Bethel Indonesia Jemaat Bethany,Wallstraße 32,10179.0,Berlin,1100312
3411032742,52.4095908,13.405787,Evangelisch-Freikirchliche Gemeinde,,,,7601443
3411055106,52.4278755,13.3211132,Bethel-Gemeinde,,,,6200421
3411066489,52.435351,13.3850013,Evangelisch-Freikirchliche Gemeinde,,,,7501133
3411082818,52.5455401,13.5656101,Evangelisch-Freikirchliche Gemeinde,,,,10100209
3411168898,52.4670315,13.5105961,Evangelisch-Freikirchliche Gemeinde,,,,9200510
3411207173,52.4667373,13.5098933,Friedenskirche,,,,9200510
3411265895,52.4633355,13.52337,Evangelisch-Freikirchliche Neues Leben Gemeinde,,,,9200511
3411369680,52.5445845,13.4114087,"Evangelisch-Freikirchliche Gemeinde ""Zoar""",Cantianstraße 9,10437.0,Berlin,3601142
3411476712,52.4941039,13.3510938,Evangelisch-Freikirchliche Gemeinde,,,,7100204
3411527446,52.54734,13.2053108,Evangelisch-Freikirchliche Gemeinde Berlin-Spandau,,,,5100314
3411616993,52.5872326,13.2874309,Evangelisch-Freikirchliche Bethel-Gemeinde,,,,12200515
3411706623,52.551225,13.3773848,Evangelisch-Freikirchliche Gemeinde,Buttmannstraße 10,13357.0,Berlin,1401044
3411726933,52.4810184,13.3225114,Evangelisch-Freikirchliche Gemeinde,Hildegardstraße 20a,10715.0,Berlin,4501151
3448408580,52.4789102,13.3471464,Greater Grace Evangelische Freikirche,,,,7200308
3667655313,52.5276476,13.2071089,Adventgemeinde Spandau,Tiefwerderweg 5,13597.0,Berlin,5200632
3737533306,52.5594755,13.3772248,Bilal Moschee,Drontheimer Straße 16,13359.0,Berlin,1300730
3786111363,52.4974645,13.3310637,Shaolin Tempel,,,,4501045
3834064759,52.5160494,13.2942714,Osman Gazi Camii,Nehringstraße 27,14059.0,Berlin,4300413
3838822221,52.4899073,13.4251285,Kreuzbergprojekt,Lenaustraße 4,12047.0,Berlin,8100311
4009581509,52.551925,13.3828026,Al-Iman-Moschee,Badstraße 21,13357.0,Berlin,1300733
4033002786,52.5129872,13.5231746,Stadtmission Gemeinde Friedrichsfelde Ost,Seddiner Straße 1,10315.0,Berlin,11401033
4033039485,52.5606059,13.4123837,Stadtmission Gemeinde Pankow,Berliner Straße 44,13189.0,Berlin,3400826
4033046356,52.4971471,13.2957393,Stadtmission Gemeinde Wilmersdorf,Joachim-Friedrich-Straße 46,10711.0,Berlin,4500938
4033054438,52.5265782,13.5029394,Junge Kirche Berlin - Lichtenberg,Herzbergstraße 84,10365.0,Berlin,11300721
4040784008,52.5008178,13.4183984,Islamisches Kulturzentrum der Bosniaken in Berlin,,,,2300314
4061948098,52.5590748,13.3786406,Haci Bayram Moschee e.V.,Koloniestraße 129,13359.0,Berlin,1300730
4134243271,52.5255887,13.3130524,Studien- und Arbeitsgruppe Joanna de Angelis,,,,4300518
4134251486,52.534466,13.3985341,Studienkreis Allan Kardec,,,,1100416
4139472262,52.554119,13.3855593,Akşemseddin Camii,Bellermannstraße 90,13357.0,Berlin,1300733
4207499766,52.5142393,13.301847,UMC English Language International Congregation Berlin,Kaiser-Friedrich-Straße 87,10585.0,Berlin,4300621
4207985891,52.5142654,13.3018953,Evangelisch-methodistische Kirchengemeinde Berlin-Charlottenburg,Kaiser-Friedrich-Straße 87,10585.0,Berlin,4300621
4252410793,52.432953,13.322537,Berliner Mennoniten-Gemeinde,Promenadenstraße 15b,12207.0,Berlin,6200421
4278114891,52.4310706,13.3655904,Friedensheim,,,,6200317
4317329215,52.5424565,13.2058287,Hoca Ahmet Yesevi Camii,,,,5100315
4331571609,52.5020615,13.4799712,Wat Sacca,Nöldnerstraße 19,10317.0,Berlin,11400928
4362191535,52.593826,13.447549,Friedhof von ehem. Insassen des NS-Zwangsarbeiterlagers Blankenburg,,,,3300514
4381394730,52.5436199,13.3663176,Eyüp Sultan Moschee,,,,1300836
4419026895,52.4975351,13.3665182,Lutherkirchengemeinde,,,,7100205
4486714441,52.4857586,13.3544782,Kabbalah Center Berlin,Hauptstraße 27,10827.0,Berlin,7200409
4777467917,52.5488708,13.3693086,Yunus Emre Moschee,Reinickendorfer Straße 38-39,13347.0,Berlin,1401044
4817551642,52.5279959,13.3415596,LIFE e.V.,Wilhelmshavener Straße 4,10551.0,Berlin,1200520
4879970440,52.4983623,13.4283306,Zentralmoschee,,,,2300417
4899779632,52.5534058,13.3804495,,,,,1401045
4926337191,52.4885844,13.2775636,Johannische Kirche,,,,4400726
5034289021,52.5521145,13.412401,Christliche Wissenschaft,Paul-Robeson-Straße 45,10439.0,Berlin,3601141
5057966521,52.4940136,13.3895642,Neuapostolische Kirche,Baruther Straße 4,,,2200210
