id,lat,lon,name,street,zip_code,city,planning_area_id
28968294,52.489074,13.322506,Deutsche Post,Uhlandstraße 85,10717.0,Berlin,4501147
29040540,52.5245043,13.3465302,"Alt-Moabit 98, 10559 Berlin",,,,1200626
64888570,52.5646771,13.5071817,Deutsche Post,Prerower Platz 1,13051.0,Berlin,11100307
89274887,52.5196982,13.4115537,Deutsche Post,,,,1100310
97877441,52.6357854,13.4938163,Postbank Finanzcenter,Wiltbergstraße 21,13125.0,Berlin,3100103
203621424,52.5420425,13.5421872,Postbank,,,,10100210
251290430,52.441346,13.6889878,,,,,9501838
257705263,52.5338083,13.1980106,Postbank Finanzcenter,,,,5200629
258888571,52.5651108,13.5713372,Deutsche Post,Wittenberger Straße 76-80,12689.0,Berlin,10100103
259609019,52.548998,13.2010183,Post,,,,5100314
267079782,52.4622822,13.5137504,Postbank Finanzcenter,Edisonstraße 63,12459.0,Berlin,9200510
268072806,52.5889268,13.287191,Deutsche Post,,,,12200515
269477697,52.5114603,13.4169551,Deutsche Post,,10179.0,Berlin,1100313
270320951,52.4347533,13.3426964,Postbank Filiale 506,Kaiser-Wilhelm-Straße 60-62,12247.0,Berlin,6200313
270766888,52.4383621,13.7199883,,,,,9501838
278361796,52.5133719,13.5226685,Postbank,,,,11401033
292396766,52.6172587,13.4886389,Schmökerzeit,,,,3300411
297885281,52.5139735,13.6123814,,Hönower Straße 102,12623.0,Berlin,10400938
298637247,52.5264124,13.4511435,Postfiliale,Ebertystraße 5,10249.0,Berlin,2500726
304897129,52.4126136,13.5721788,Deutsche Post,Bruno-Taut-Straße 1,12524.0,Berlin,9301024
308811060,52.5495837,13.4161206,,,,,3601243
322541059,52.5965584,13.3506157,Deutsche Post,Königshorster Straße 150,13439.0,Berlin,12601134
345546409,52.4586959,13.5766157,Deutsche Post,Bahnhofstraße 33-38,12555.0,Berlin,9501939
370131144,52.4506878,13.3398208,Deutsche Post,Steglitzer Damm 24,12169.0,Berlin,6100205
481148749,52.4187952,13.1573476,,,,,6400735
552357265,52.5754596,13.2839542,Postfiliale,Bernauer Straße 69,13507.0,Berlin,12200412
