id,lat,lon,name,street,zip_code,city,planning_area_id
26735749,52.5068638,13.3228585,Aida,,10623.0,Berlin,4300624
26735759,52.5062119,13.3180811,Madame Ngo,Kantstraße 30,10623.0,Berlin,4300624
26735763,52.5073199,13.3207804,Thanh Long,Pestalozzistraße 106,10625.0,Berlin,4300624
29997724,52.5063184,13.2846256,La Pergola,Neue Kantstraße 19,14057.0,Berlin,4300415
30020303,52.4907103,13.3939814,Tibet Haus,Zossener Straße 19,10961.0,Berlin,2200211
35966292,52.5068889,13.2839198,Paella,Wundtstraße 72,14057.0,Berlin,4300415
35973391,52.5103223,13.2829535,Cancún,Kaiserdamm 24,14057.0,Berlin,4200311
36310174,52.5543102,13.3311051,SchAtulle,,13351.0,Berlin,1400937
63253646,52.4983826,13.2969979,Haus der 100 Biere,Kurfürstendamm 100,10709.0,Berlin,4500937
63253652,52.4985867,13.2982491,Ach!NikO!Ach!,Kurfürstendamm 97-98,10709.0,Berlin,4500937
63253660,52.5009791,13.2976442,Ristorante Salve,Damaschkestraße 31,10711.0,Berlin,4500937
78438027,52.572519,13.3082697,Dalmacija,Quäkerstraße 2,13403.0,Berlin,12200310
78467656,52.5771153,13.3073153,Schlemmerküche,Wittestraße 49,13509.0,Berlin,12200412
79454844,52.4800304,13.3277157,Taverna Athos,Bundesplatz 2,10715.0,Berlin,4501151
79769672,52.5701303,13.3098188,Pizzaria Tamara,Zobeltitzstraße 90,13403.0,Berlin,12200310
79808386,52.5096736,13.2707607,BLOCK HOUSE,Theodor-Heuss-Platz 12,14052.0,Berlin,4200310
81362518,52.509874,13.2708833,JOES Restaurant & Wirtshaus,Theodor-Heuss-Platz 10,14052.0,Berlin,4200310
81362605,52.5106205,13.2716607,Lindenwirtin,Lindenallee 28,14050.0,Berlin,4200310
84644780,52.5044686,13.3827465,Cancun,Anhalter Straße 1,10963.0,Berlin,2100101
86001794,52.5151154,13.3889505,Bocca di Bacco,Friedrichstraße 167;168,10117.0,Berlin,1100206
86001798,52.5150034,13.3903882,Restaurant Borchardt,Französische Straße 47,10117.0,Berlin,1100206
86001800,52.5150373,13.3907724,Charlotte & Fritz,Charlottenstraße 49,10117.0,Berlin,1100206
86001813,52.514689,13.3909281,Heritage,Französische Straße 25,10117.0,Berlin,1100206
86001825,52.5132123,13.3911782,Lutter & Wegner,Charlottenstraße 56,10117.0,Berlin,1100206
86001833,52.5124049,13.3913074,Victor & Victoria,Charlottenstraße 59,10117.0,Berlin,1100206
86001837,52.5120539,13.3922763,Fellini,,,,1100207
86001846,52.5130816,13.3935532,Shan’s Bistro,,,,1100206
87040391,52.5113441,13.3891811,Maximilians,Friedrichstraße 185-190,10117.0,Berlin,1100207
87040394,52.511292,13.3887116,Izumi Sushi Bar,Kronenstraße 66,10117.0,Berlin,1100207
89274703,52.5214304,13.4092065,Der Alte Fritz,Panoramastraße 1,10178.0,Berlin,1100310
89274833,52.5203514,13.4122196,Carambar,Rathausstraße 1,10178.0,Berlin,1100310
89274854,52.5202106,13.4118079,Matzbach,,,,1100310
89275075,52.5180123,13.4071626,Azem,,,,1100310
