id,lat,lon,name,street,zip_code,city,planning_area_id
237838613,52.4799688,13.3384592,Rückert-Gymnasium,Mettestraße 8,10825.0,Berlin,7200308
256912446,52.5394411,13.2880437,Erwin von Witzleben Grundschule,Halemweg 34-42,13627.0,Berlin,4100101
256913234,52.521142,13.2416342,Sportschule im Olympiapark - Poelchau-Schule,Prinz-Friedrich-Karl-Weg 1,14053.0,Berlin,4200203
256913872,52.5376587,13.2883255,Anna Freud Schule,Halemweg 22,13627.0,Berlin,4100101
268915152,52.5553761,13.4307335,Klax Grundschule Langhansstraße,,,,3500934
268915405,52.4545448,13.3814584,Freie Schule in Berlin e.V.,Viktoriastraße 13-18,12105.0,,7400825
268917477,52.3968526,13.4043701,Carl-Zeiss-Oberschule,Lutherstraße 18,12305.0,Berlin,7601442
272808901,52.497182,13.4421727,Babylonia,Cuvrystraße 23a,10997.0,Berlin,2300419
298750707,52.5721259,13.199678,Evangelische Schule Spandau (ESS),Schönwalder Allee 26/27,13587.0,Berlin,5100101
340239440,52.4803608,13.3390601,Sternberg Grundschule,Mettestraße 8,10825.0,Berlin,7200308
360713397,52.4717574,13.4357615,Peter-Petersen-Schule,Jonasstraße 15-16,12053.0,Berlin,8100208
360713401,52.4725928,13.4354917,Konrad-Agahd-Grundschule,Thomasstraße 39,12053.0,Berlin,8100208
506133476,52.445113,13.5170522,Berliner Rettungsdienstschule,,,,9100409
592636066,52.5413537,13.4146824,The School of Life,Lychener Straße 7,10437.0,Berlin,3601347
613697442,52.5353066,13.3982097,,,,,1100416
630640493,52.512379,13.4195798,Games Academy,,,,1100313
727710608,52.5264226,13.5311243,bbw Akademie Betriebswirtschaftliche Weiterbildung,Allee der Kosmonauten 33 B,12681.0,Berlin,10100311
850092123,52.4430497,13.5768735,Käpt´n Mosers Wassersportschule,,,,9401534
867872391,52.503441,13.4120982,Deutsch Praxis,,,,2100104
871633760,52.5023614,13.413924,Yoga/Schiatsu-Zentrum,,,,2100104
876244328,52.501677,13.4213836,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,,2300314
985919722,52.6256033,13.4929984,Jugendwerkstatt Buch Aktivierungshilfe,,,,3100103
996413480,52.5620245,13.4135424,TING-Schule,,,,3400829
1015728668,52.4545683,13.2706708,Biesalski-Schule,Hüttenweg 40,14195.0,Berlin,6400842
1057857273,52.4833728,13.3327206,Ernst-Habermann-Grundschule,Prinzregentenstraße 33,10715.0,Berlin,4501153
1137671520,52.5185412,13.3007856,Kindermalschule,Lohmeyerstraße 26,10587.0,Berlin,4300621
1140710553,52.5034349,13.3716254,CJD Berlin,Am Karlsbad 16,10785.0,Berlin,1100104
1224801662,52.4399472,13.4359177,Alno Küchenstudio,,,,8200730
1407207210,52.552085,13.4056269,Abendgymnasium Prenzlauer Berg,Driesener Straße 22,10439.0,Berlin,3601140
1552045205,52.5284845,13.3884213,Deutsch-Institut Berlin,Novalisstraße 12,10115.0,Berlin,1100415
1597894107,52.4908343,13.4213252,Islam Vakfi,,,,2200213
1658284135,52.5083269,13.3036973,Charlotte-Wolff-Kolleg,Pestalozzistraße 40-41,10627.0,Berlin,4300623
1825200731,52.4965481,13.3402818,Lette-Akademie,Viktoria-Luise-Platz 6,10777.0,,7100101
1825200732,52.4967169,13.3404458,Lette-Verein,Viktoria-Luise-Platz 6,10777.0,,7100101
1827035552,52.4992808,13.41986,SCHATZ Schulaufgabenzirkel,,10999.0,Berlin,2300314
1833519549,52.4822428,13.3344676,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,Prinzregentenstraße 60,10715.0,Berlin,4501153
1833591080,52.4821179,13.3344536,Kläre-Bloch-Schule,Prinzregentenstraße 60,10715.0,Berlin,4501153
1855387994,52.5357196,13.6048951,Das Lernzentum (Helliwood media & education),,,,10200526
1867142844,52.4967726,13.4217523,Institut für Phytotherapie,Paul-Lincke-Ufer 42-43,10999.0,Berlin,2300417
2133391708,52.5309477,13.3999915,Neue Schule für Fotografie,Brunnenstraße 188-190,10119.0,Berlin,1100415
2134648578,52.4940876,13.4463857,InBit Institut,,,,9100101
2136734352,52.6108823,13.2479778,Fachschule für Sozialpädagogik,Am Bärensprung 58,13503.0,Berlin,12400619
2180504961,52.4824554,13.3350661,Wangari Maathai International School,Babelsberger Straße 24-25,10715.0,Berlin,4501153
2232813894,52.4935666,13.4201501,Hermann-Hesse-Gymnasium (Haus 3),,,,2200213
2379197943,52.5237443,13.3429326,indisoft GmbH,Stromstraße 3b,10555.0,Berlin,1200626
2431140182,52.5533306,13.3653305,das kleine atelier,Oudenarder Straße 32,13347.0,Berlin,1401049
2538629447,52.5424451,13.4414278,Pepper Mont,Greifswalder Straße 88,10409.0,Berlin,3601449
2538629492,52.5425347,13.4415246,Freie Sekundarschule Peppermont,Greifswalder Straße 88,10409.0,Berlin,3601449
2610154858,52.557281,13.4417282,Berlin Bilingual School,Rudolf-Baschant-Straße 2,13086.0,Berlin,3500932
2629122240,52.4961309,13.384161,Taxischule Metropolis,,,,2200208
2665133376,52.4972267,13.4420839,Bildungsteam,Cuvrystraße 20,10997.0,Berlin,2300419
2952353502,52.566071,13.3811302,Quinoa Schule,Kühnemannstraße 26,13409.0,Berlin,1300731
3053179146,52.4899704,13.3795238,TAXI Schule,,,,2200209
3090369566,52.5396656,13.418127,iek,Husemannstraße 32,10435.0,Berlin,3701555
3093478831,52.5155186,13.3845541,Schule bei der Botschaft der Russischen Föderation,Behrenstraße 64-65,10117.0,Berlin,1100206
3347795761,52.4546353,13.2698957,Quentin-Blake-Europa-Schule,Hüttenweg 40,14195.0,Berlin,6400842
3465132015,52.4880673,13.3294623,Svenska Skolan i Berlin,Landhausstraße 26-28,10717.0,Berlin,4501149
3644290194,52.5122062,13.4475016,Be The - Therapie bei Lernschwierigkeiten,Am Comeniusplatz 2,10243.0,Berlin,2400624
3666540069,52.4951245,13.3394889,Yogah Schule,Motzstraße 62,10777.0,Berlin,7100101
3874377457,52.4282154,13.2236649,Jugendfreizeiteinrichtung Düppel,Lissabonallee 6,14129.0,Berlin,6400736
4149486091,52.5019732,13.3919599,Liebmann-Schule,Friedrichstraße 13,10969.0,Berlin,2100102
4194642895,52.6062681,13.3421366,private Goethe Grundschule,Wittenauer Straße 112,13435.0,Berlin,12601031
4298064770,52.5730595,13.1948238,Hort der ESS,,13587.0,Berlin,5100101
4368419896,52.5040253,13.35938,Internationale Lomonossow-Schule,Genthiner Straße 20,10785.0,,1100103
4560824228,52.5207044,13.4329748,KreativitätsGymnasium Berlin,Strausberger Straße 38,10243.0,Berlin,2400521
4560824229,52.5209736,13.4322586,KreativitätsGrundschule Friedrichshain,Strausberger Straße 38,10243.0,Berlin,2400521
4612831609,52.5001343,13.3064187,Wall Street English,,,,4500936
4685088089,52.5321282,13.3802045,Nou Tango Berlin,,10115.0,,1100308
4850314524,52.4908034,13.3774542,Cumbancha,Möckernstraße 68,10965.0,,2200209
4864189821,52.5328938,13.2797555,EIIE EURASIA Institute for International Education GmbH,,13627.0,,5300840
4932662327,52.5279354,13.4477802,Piano Cano,Cotheniusstraße 3,10407.0,Berlin,3601452
5477749794,52.4544038,13.394612,Samuel-Hahnemann-Schule,Colditzstraße 34-36,12099.0,Berlin,7400927
5661514223,52.4227343,13.4468273,Schule am Hasenhegerweg,Hasenhegerweg 12,12353.0,Berlin,8200833
5661514224,52.4224497,13.4468112,Lisa-Tetzner-Grundschule,Hasenhegerweg 12,12353.0,Berlin,8200833
5695079683,52.5236819,13.4885479,OTA - Tanyildiz Schweißtechnik,Josef-Orlopp-Straße 45 - 49,10365.0,Berlin,11300721
5790175872,52.5347819,13.4273152,Corrie-ten-Boom-Schule,Christburger Straße 14C,10405.0,Berlin,3701658
5790175875,52.5346465,13.4278408,Elisabeth-Abegg-Grundschule,Christburger Straße 14C,10405.0,Berlin,3701658
5907019898,52.4858093,13.3541252,Privates Europa-Gymnasium Berlin,Hauptstraße 27,10827.0,Berlin,7200409
5997094437,52.5095435,13.2634016,Moser Schule Schweizer Gymnasium gGmbH,,,,4200310
6058583254,52.5273506,13.4062656,,Mulackstraße 8,10119.0,Berlin,1100309
6153498939,52.4811108,13.2887102,Institut für Verhaltenstherapie Berlin,Hohenzollerndamm 125;126,14199.0,Berlin,4400830
6215800460,52.5375362,13.3976982,Mal- und Zeichenschule Prib,Brunnenstraße 45,10115.0,Berlin,1100416
6251995791,52.5505701,13.3704694,Produktionsschule Mitte,,,,1401044
6410792688,52.6331664,13.5072943,Akademie der Gesundheit,Schwanebecker Chaussee 4 E-H,13125.0,,3100102
6422859463,52.5533032,13.4097119,Freie Grundschule Pfefferwerk,Schönfließer Straße 7,10439.0,Berlin,3601141
6422859464,52.552951,13.4096543,Freie Sekundarschule PepperMont,,,,3601141
7133350404,52.5886224,13.2824239,Julius-Leber-Oberschule,Treskowstraße 26-31,13507.0,Berlin,12200515
7133350405,52.5881558,13.2827444,Franz-Marc-Grundschule,Treskowstraße 26-31,13507.0,Berlin,12200515
7685796317,52.4866263,13.3164868,Prestige Kosmetikakademie,Berliner Straße 53,10713.0,Berlin,4501146
7774237459,52.481561,13.3196702,Grund-Bildungs-Zentrum Berlin,Paretzer Straße 1,10713.0,Berlin,4501148
8050485559,52.5014874,13.3920468,Galilei Grundschule,Friedrichstraße 13,10969.0,Berlin,2100102
8589000133,52.5402175,13.3589568,Kristall Grundschule,Tegeler Straße 13,13353.0,Berlin,1401047
8748235116,52.4867036,13.4257624,Theodor-Storm-Grundschule,Hobrechtstraße 76,12043.0,Berlin,8100314
8907860456,52.5846554,13.4023268,Naturschule am Brosepark,,,,3200206
9215908289,52.4186282,13.5378599,Grundschule am Berg,,,,9300920
9502964060,52.4953754,13.3099724,Berliner Schule für Zen Shiatsu,,,,4501043
9674270517,52.5427625,13.5365868,SENECA INTENSIV Studios,Georg-Knorr-Straße 4 / Haus 10,12681.0,,10100205
9737166477,52.5143176,13.3013341,Backschule Charlotte,,,,4300621
9777048055,52.5262549,13.3959795,Grundschule am Koppemplatz Standort Auguststr,,,,1100309
9953624692,52.6127734,13.2474075,Demokratische Schule X,Ruppiner Chaussee 211,13503.0,Berlin,12400618
10273324300,52.546377,13.5508288,Peter-Pan-Grundschule,,,,10100210
10671322645,52.4593632,13.323479,fjs - freie journalisten schule,,,,6100102
10719032094,52.5011469,13.4293941,Wir-Raum GFK,Pücklerstraße 26,10997.0,Berlin,2300315
10788214205,52.5329551,13.453285,Ironhack Berlin,,10407.0,,3601450
11060589005,52.5220834,13.5798614,Grundschule an der Wuhle,,,,10200629
11060597012,52.5216824,13.5805919,Sporthalle - Grundschule an der Wuhle,,,,10200629
11191369537,52.5549661,13.3893155,Berlin Comics Schule,Stettiner Straße 30,13357.0,,1300733
11197523749,52.5230665,13.3439077,Seminarschiff,,,,1200626
11198242339,52.4450342,13.6308577,Surfpaddelschule,,,,9501737
11267498757,52.4376391,13.2631061,Freie Schule Anne Sophie,,14169.0,,6400841
11287862770,52.4685185,13.4533132,b-trend-setting,Lahnstraße 19,12055.0,Berlin,8100521
11357840631,52.4988468,13.4363004,Shiatsu Schule Kreuzberg,Lübbener Straße 26,10997.0,Berlin,2300419
11425591669,52.5455422,13.4174416,Elinor-Ostrom-Schule (2. Schulstandort),Pappelallee 30-31,10437.0,,3601347
