id,lat,lon,name,street,zip_code,city,planning_area_id
252204472,52.5495479,13.571724,Sportanlage Schönagelstraße,,,,10100209
281426523,52.4612367,13.5126209,Bowling Spreehöfe,Wilhelminenhofstraße 89,12459.0,Berlin,9200510
282743483,52.5195649,13.4670158,Bowlero,,,,2500728
291656876,52.5201789,13.209132,Ruder-Club Hevella,,,,5200632
315240798,52.5313803,13.4251219,Nautilus Training,Immanuelkirchstraße 14,10405.0,Berlin,3701659
354513937,52.5284363,13.1338082,Pacific Fitness Studio,,,,5200524
579988110,52.5368636,13.2701899,Miss Sporty,Nonnendammallee 92,13629.0,Berlin,5300841
632385089,52.4973462,13.3439273,Geisberghalle,,,,7100101
638751846,52.4964457,13.4221664,Shinson Hapkido Berlin e.V.,Paul-Lincke-Ufer 41,10999.0,Berlin,2300417
648259075,52.5109192,13.2101239,Ruderverein Berlin von 1878,"Brandensteinweg 2,2A",13595.0,Berlin,5200634
652418750,52.5646251,13.3249268,Fitness Center,,,,12200309
653165262,52.5106334,13.5345727,Frauenfitness balance,Alt-Friedrichsfelde 65 D,10315.0,Berlin,11401033
654202879,52.4908163,13.3084939,Combat Berlin e.V.,Ruhrstraße 12A,10709.0,Berlin,4500939
678967898,52.5508931,13.3539279,Fit im Wedding,,,,1401048
693826342,52.4595265,13.3150105,Schwimmschule Wassermeloni,Grunewaldstraße 14a,12165.0,Berlin,6100101
703744109,52.4031371,13.5072516,,,,,8401245
802697163,52.4797986,13.3454215,Shaolin Kungfu Berlin,Hauptstraße 60,10827.0,Berlin,7200308
852868183,52.4190685,13.3592598,Budo Academy Berlin,,,,7601236
913133075,52.536244,13.3989044,Yoga Delta Berlin,"Anklamer Straße 33, 2.Hinterhof",10115.0,Berlin,1100416
978426577,52.4616006,13.5127271,Der Wellness Club,Wilhelminenhofstraße 89,12459.0,Berlin,9200510
986525060,52.5054221,13.3674272,therapiezentrum working motion physio/ergo,Potsdamer Straße 58,10785.0,Berlin,1100103
1103266295,52.53338,13.198009,MeridianSpa,,,,5200629
1111632078,52.4794909,13.4327678,Berlin Kart,Werbellinstraße 50,12053.0,Berlin,8100206
1172019472,52.6073684,13.4199703,Vital One,Hugenottenplatz 4,13127.0,Berlin,3200310
1223849541,52.5573727,13.3638597,Luise-Schröder-Halle,,,,1400940
1336704980,52.5372216,13.2060342,Sportpark Budokan KG,Breite Straße 25,13597.0,Berlin,5100316
1575010825,52.4089916,13.3775391,Insel Sports Club,Motzener Straße 5,12277.0,Berlin,7601341
