id,lat,lon,name,street,zip_code,city,planning_area_id
66917094,52.5239216,13.3888786,Friedrichstadt-Palast,Friedrichstraße 107,10117.0,Berlin,1100309
66917098,52.5236239,13.3886211,Quatsch Comedy Club,Friedrichstraße 107,10117.0,Berlin,1100309
66917115,52.5206669,13.3885051,Kabarett-Theater Distel,Friedrichstraße 101,10117.0,Berlin,1100206
66917188,52.5207714,13.3889021,Admiralspalast,Friedrichstraße 101,10117.0,Berlin,1100206
79808389,52.5088651,13.2707514,Die Wühlmäuse,Pommernallee 2-4,14052.0,Berlin,4200310
173985100,52.4990938,13.3862714,HAU 2 (Hebbel am Ufer),Hallesches Ufer 32,10963.0,Berlin,2100101
229948256,52.5258112,13.4011409,Sophiensæle,Sophienstraße 18,10178.0,Berlin,1100309
259797763,52.5182037,13.4399455,Berliner Kriminaltheater,Palisadenstraße 48,10243.0,Berlin,2400521
272406395,52.4986606,13.3022747,Schaubühne am Lehniner Platz,Kurfürstendamm 153,10709.0,Berlin,4500938
272807733,52.4976425,13.4430035,Ratibortheater,Cuvrystraße 20a,10997.0,Berlin,2300419
282754671,52.5142329,13.4721701,Verlängertes Wohnzimmer,Frankfurter Allee 91,10247.0,Berlin,2500729
289404068,52.5121441,13.3083771,Deutsche Oper Berlin,Bismarckstraße 35,10627.0,Berlin,4300621
290381165,52.5170913,13.4782731,Theater an der Parkaue,Parkaue 31,10367.0,Berlin,11300722
303027574,52.4881169,13.366735,Scheinbar Varieté e.V.,,10829.0,Berlin,7200414
315146496,52.4873738,13.3883479,Theater Thikwa (F40),Fidicinstraße 40,10965.0,Berlin,2200211
318525456,52.5156648,13.3869856,Komische Oper Berlin,Behrenstraße 55-57,10117.0,Berlin,1100206
345806623,52.5243546,13.3819066,Deutsches Theater,Schumannstraße 13a,10117.0,Berlin,1100308
428511003,52.5166137,13.464371,TIK: Theater im Kino,,,Berlin,2500728
454167248,52.5583825,13.413048,Vineta Theater,,,,3400826
474378383,52.4733641,13.3223214,Kleines Theater,Südwestkorso 64,12161.0,Berlin,7300515
474801032,52.4775631,13.439333,Neuköllner Oper,Karl-Marx-Straße 131-133,12043.0,Berlin,8100416
476027573,52.5399039,13.4136365,Theater Rambazamba,,,,3701555
510154873,52.5398598,13.4107279,Volksbühne im Prater,Kastanienallee 7-9,10435.0,Berlin,3701554
545733901,52.5185239,13.3954981,Theater im Palais,Am Festungsgraben 1,10117.0,Berlin,1100206
549931287,52.4608983,13.5130035,SpreeLacArt Kulturwerk Schöneweide,,,,9200510
572221430,52.5061225,13.3285705,Vaganten Bühne,Kantstraße 12a,10623.0,Berlin,4300622
613229739,52.535733,13.398065,Theater Mirakulum,Brunnenstraße 35,10115.0,Berlin,1100416
615148215,52.524042,13.402083,Chamäleon,Rosenthaler Straße 40-41,10178.0,Berlin,1100309
619119805,52.5103384,13.323503,Renaissance-Theater Berlin,Knesebeckstraße 100,10623.0,Berlin,4300624
695831689,52.4894386,13.3122082,Theater Coupé,Hohenzollerndamm 177,10713.0,Berlin,4501146
735151601,52.4937535,13.3876511,BKA-Theater,Mehringdamm 34,10961.0,Berlin,2200208
833111849,52.5250687,13.4025511,Puppentheater Firlefanz,Sophienstraße 10,10178.0,Berlin,1100309
873444364,52.5020031,13.4213249,Ballhaus Naunynstraße,Naunynstraße 27,10997.0,Berlin,2300314
873444370,52.5016868,13.420827,Hoftheater Kreuzberg,,10997.0,Berlin,2300314
894765631,52.4881467,13.3678205,AHA-Berlin e.V.,Monumentenstraße 13,10829.0,Berlin,7200414
895507273,52.5189862,13.3959797,Maxim Gorki Theater - Studio,,,,1100206
895509940,52.529684,13.3965478,Acker Stadt Palast - Freie Bühne Mitte .eV,,,,1100415
899133792,52.5654952,13.401433,Zimmer 16,,,,3400721
910361469,52.4770235,13.4399161,Heimathafen Neukölln,Karl-Marx-Straße 141,12043.0,Berlin,8100416
910725856,52.5043712,13.3374894,Die Stachelschweine,Tauentzienstraße 9-12,10789.0,Berlin,4501042
945390395,52.5354834,13.2025072,Theatersaal des Kulturhauses Spandau,,,,5100316
945402693,52.5525607,13.4307318,BrotfabrikBühne,,13086.0,Berlin,3500934
946790935,52.441939,13.2974764,Theater Lichterfelde,Drakestraße 49,12205.0,Berlin,6300634
977686791,52.4919181,13.3882686,Mehringhof Theater,Gneisenaustraße 2a,10961.0,Berlin,2200211
1096182603,52.516541,13.40783,Theater im Nikolaiviertel,,,,1100310
1154118481,52.4667595,13.3213047,Zimmertheater Steglitz,Bornstraße 17,12163.0,Berlin,6100103
1158225994,52.5430767,13.4149784,Ballhaus Ost,Pappelallee 15,10437.0,Berlin,3601347
1175152683,52.4911319,13.4249827,Wohnzimmerclub,,,,8100311
1187935417,52.5166443,13.4508437,Berliner Schnauze,,,,2400522
1226781760,52.5119023,13.295502,Zauberlounge,Horstweg 3,14059.0,Berlin,4300414
1246340370,52.4873295,13.3881082,F40 - English Theatre Berlin,Fidicinstraße 40,10965.0,Berlin,2200211
1246402201,52.5247268,13.4651975,Das Weite Theater,Storkower Str 207,10369.0,Berlin,11300618
1246402202,52.5118136,13.4487808,Theater der kleinen Form,Gubener Straße 45,10243.0,Berlin,2400624
1246402203,52.4919756,13.3645476,Theater O-TonArt,Kulmer Straße 20a,10783.0,Berlin,7100206
1246402205,52.5349848,13.4162235,Theater o.N.,Kollwitzstraße 53,10405.0,Berlin,3701556
1246402206,52.5318164,13.418434,bat-Studiotheater,Belforter Straße 15,10405.0,Berlin,3701556
1246402207,52.497339,13.3856884,HAU 3 (Hebbel am Ufer),Tempelhofer Ufer 10,10963.0,Berlin,2200208
1246402211,52.5098099,13.3290202,UNI.T - Theater der UdK Berlin,Fasanenstraße 1b,10623.0,Berlin,4300622
1256737686,52.4925187,13.4162666,Kleinkunstkeller,,,,2200213
1263355907,52.5434945,13.3633056,Prime Time Theater,Müllerstraße 163,13353.0,Berlin,1401047
1289390673,52.4860391,13.4319584,Die Musenstube,,,,8100312
1303363193,52.48842,13.4277627,Theater im Keller,Weserstraße 211,12047.0,Berlin,8100311
1336883756,52.5072208,13.3721193,Stage Theater am Potsdamer Platz,Marlene-Dietrich-Platz 1,10785.0,Berlin,1100102
1336890158,52.4967578,13.4214048,Dancetheater LaborGRAS.com,,,,2300417
1445221277,52.524275,13.3813992,Kammerspiele,Schumannstraße 14a,10117.0,Berlin,1100308
1457124704,52.5190141,13.3950767,Maxim-Gorki-Theater,Am Festungsgraben 2,10117.0,Berlin,1100206
1486087544,52.5514416,13.4183206,BühnenRausch,Erich-Weinert-Straße 27,10439.0,Berlin,3601243
1737242128,52.5713652,13.5682593,Berliner Tschechow Theater,Märkische Allee 410,12689.0,Berlin,10100102
1739006720,52.4941597,13.3267044,Theater unterm Turm,,,,4501149
1746712005,52.5033188,13.3479976,Kleine Nachtrevue,Kurfürstenstraße 116,10787.0,Berlin,7100101
1871854816,52.5016098,13.381181,Tempodrom,Möckernstraße 10,10963.0,Berlin,2100101
1945796840,52.5298014,13.410003,Kookaburra Comedy Club,Schönhauser Allee 184,10119.0,Berlin,3701554
1948871674,52.5182934,13.2899708,Freie Theateranstalten Berlin,Klausenerplatz 19,14059.0,Berlin,4300413
2093602596,52.5342712,13.3595034,Fabriktheater,Lehrter Straße 35,10557.0,Berlin,1200624
2395299465,52.5205352,13.3586326,Theater Artenschutz,,10557.0,Berlin,1200628
2424327231,52.4744133,13.6000868,Kabarett Knieriem,,,,10400941
2488873131,52.487038,13.376389,Garn Theater,Katzbachstraße 19,10965.0,Berlin,2200209
2627106420,52.527024,13.4119171,Volksbühne am Rosa-Luxemburg-Platz,Linienstraße 227,10178.0,Berlin,1100310
2649739384,52.4824948,13.4306601,Keller,Karl-Marx-Straße 58,12043.0,Berlin,8100206
