id,lat,lon,name,street,zip_code,city,planning_area_id
27446265,52.4104296,13.5983058,Regattastraße/Sportpromenade,,,,9301126
30302050,52.5467123,13.3448975,Seestraße/Amrumer Straße,,,,1400942
30303888,52.5537705,13.4138898,Schönhauser Allee/Bornholmer Straße,,,,3601141
30303894,52.5552992,13.4026406,Björnsonstraße,,,,3601139
30303950,52.5542024,13.4144934,Schönhauser Allee/Bornholmer Straße,,,,3601139
30303956,52.5527208,13.4238019,Stahlheimer Straße/Wisbyer Straße,,,,3601243
30304940,52.5514112,13.4295126,Prenzlauer Allee/Ostseestraße,,,,3601244
30304944,52.5507797,13.4300239,Prenzlauer Allee/Ostseestraße,,,,3601245
30304965,52.5566797,13.4299757,Prenzlauer Promenade/Am Steinberg,,,,3500934
30305102,52.5452352,13.427615,S Prenzlauer Allee,,,,3601245
30305106,52.5396527,13.4244774,Prenzlauer Allee/Danziger Straße,,,,3701657
30305107,52.5387517,13.4239921,Prenzlauer Allee/Danziger Straße,,,,3701555
30305113,52.5390557,13.4247224,Prenzlauer Allee/Danziger Straße,,,,3701657
30305114,52.5378916,13.4280022,Winsstraße,,,,3701657
30305118,52.5374399,13.4294221,Winsstraße,,,,3701657
30305213,52.5632037,13.4127872,Masurenstraße,,,,3400826
30554096,52.5818061,13.4286019,Galenusstraße,,,,3400724
30554100,52.5773178,13.4276065,S Pankow-Heinersdorf,,,,3400724
30554105,52.5750424,13.4192595,Mendelstraße,,,,3400723
30554110,52.5711633,13.4106484,Pankow Kirche,,,,3400723
30558129,52.5963302,13.4328707,Rosenthaler Straße,,,,3200308
30561497,52.5800908,13.3971487,Pastor-Niemöller-Platz,,,,3200206
30561525,52.582622,13.3921181,Am Iderfenngraben,,,,3200206
30624481,52.5599523,13.4602303,Pasedagplatz,,,,3501037
30625116,52.5533362,13.4760326,Sulzfelder Straße,,,,3501038
30625241,52.5531803,13.480374,Hansastraße/Buschallee,,,,3501038
30684945,52.5537608,13.4805827,Hansastraße/Buschallee,,,,3501038
30684954,52.559939,13.4957441,Feldtmannstraße,,,,11200410
30684955,52.5613788,13.4999139,Hansastraße/Malchower Weg,,,,11200410
30684982,52.5351119,13.4796281,Altenhofer Straße,,,,11200514
30684987,52.532258,13.476705,Landsberger Allee/Weißenseer Weg,,,,11300620
30689860,52.5636616,13.5063374,Prerower Platz,,,,11100309
30689934,52.5638559,13.5046117,Prerower Platz,,,,11100308
30689973,52.5701623,13.4973963,Zingster Straße/Ribnitzer Straße,,,,11100307
30690321,52.5685744,13.5203133,Prendener Straße,,,,11100204
30690550,52.5661358,13.5020039,Ahrenshooper Straße,,,,11100308
30691227,52.5698506,13.5265911,Falkenberg,,,,11100205
30692597,52.5508154,13.5091772,Gehrenseestraße,,,,11200410
30693019,52.5304884,13.4615084,Oderbruchstraße,,,,3601450
30694255,52.5339119,13.4869072,Zechliner Straße,,,,11300721
30694268,52.53439,13.4948771,Genslerstraße,,,,11300721
30694279,52.5349408,13.5066484,Arendsweg,,,,11200515
30694284,52.5357322,13.5181868,Landsberger Allee/Rhinstraße,,,,11200515
30694289,52.5366428,13.5244371,Dingelstädter Straße,,,,10100311
30694295,52.5390995,13.5341226,Gewerbepark Georg Knorr,,,,10100311
30694319,52.5465019,13.5573621,Freizeitforum Marzahn,,,,10100210
30694331,52.5537187,13.565478,Max-Herrmann-Straße,,,,10100208
30694334,52.5472111,13.5619425,Jan-Petersen-Straße,,,,10100210
30694352,52.5577949,13.5682656,Wuhletalstraße,,,,10100206
30694375,52.5650166,13.5718576,Niemegker Straße,,,,10100104
30694376,52.5682711,13.5747394,Barnimplatz,,,,10100102
30694391,52.5726002,13.5741703,Ahrensfelde/Stadtgrenze,,,,10100102
30694394,52.5464096,13.5727623,Landsberger Allee/Blumberger Damm,,,,10100316
30694396,52.5479864,13.5787187,Brodowiner Ring,,,,10100316
30694741,52.5490935,13.5871358,Landsberger Chaussee/Zossener Straße,,,,10200417
30694746,52.5454601,13.587435,Michendorfer Straße,,,,10200418
30694748,52.5438862,13.5989829,Zossener Straße/Kastanienallee,,,,10200419
30694767,52.5307469,13.6211499,Riesaer Straße/Louis-Lewin-Straße,,,,10200524
30694780,52.5293723,13.6234797,Riesaer Straße,,,,10200525
30694949,52.5254798,13.5302267,Beilsteiner Straße,,,,10100311
30694953,52.5258353,13.5211177,Allee der Kosmonauten/Rhinstraße,,,,10100311
30694959,52.5254439,13.5196343,Allee der Kosmonauten/Rhinstraße,,,,10100311
30694960,52.5294311,13.5192685,Meeraner Straße,,,,10100311
30694967,52.5362433,13.5167808,Landsberger Allee/Rhinstraße,,,,11200515
30694968,52.539004,13.5146099,Rhinstraße/Plauener Straße,,,,11200515
30695361,52.5254615,13.5084195,Ev. Krankenhaus KEH,,,,11300721
30695385,52.5266198,13.4784194,Roederplatz,,,,11300617
30695390,52.5291972,13.4626653,Karl-Lade-Straße,,,,11300617
30695393,52.523331,13.4795469,Möllendorffstraße/Storkower Straße,,,,11300619
30731481,52.5204243,13.4042441,Spandauer Straße/Marienkirche,,,,1100310
30731497,52.5221645,13.4147332,U Alexanderplatz,,,,1100310
30731498,52.5249909,13.4204682,Mollstraße/Otto-Braun-Straße,,,,1100311
30731507,52.5255473,13.4202755,Mollstraße/Otto-Braun-Straße,,,,2400520
30731508,52.5208822,13.4115103,S+U Alexanderplatz/Gontardstraße,,,,1100310
30731700,52.5258817,13.3873633,U Oranienburger Tor,,,,1100308
30732016,52.528517,13.4108348,U Rosa-Luxemburg-Platz,,,,1100310
30732068,52.5236711,13.4116514,S+U Alexanderplatz/Memhardstraße,,,,1100310
30732071,52.5278448,13.4165112,Mollstraße/Prenzlauer Allee,,,,3701556
30733475,52.5312171,13.4195273,Prenzlauer Allee/Metzer Straße,,,,3701556
30733478,52.5334293,13.4208437,Knaackstraße,,,,3701556
30733479,52.5362333,13.4225029,Marienburger Straße,,,,3701555
30733487,52.5435991,13.4416553,Thomas-Mann-Straße,,,,3601449
30733493,52.5484803,13.4517416,Antonplatz,,,,3500936
30733501,52.5516729,13.440803,Friesickestraße,,,,3500934
30733522,52.5622499,13.4348544,Tino-Schwierzina-Straße,,,,3300516
30733524,52.5653634,13.4360911,Am Wasserturm,,,,3300516
30734427,52.5291671,13.4447167,Paul-Heyse-Straße,,,,3601452
