latlon,planning_area_id
52.5070039_13.5985472,10400836
52.5430244_13.3626634,01401047
52.5221737_13.1663149,05200527
52.5673085_13.4942244,11100308
52.5062647_13.5900589,10400836
52.5050079_13.5575525,10300733
52.3864845_13.4036823,07601544
52.3854787_13.3994422,07601544
52.4391996_13.2142934,06400737
52.4050209_13.5685776,09301024
52.4001047_13.5726254,09301025
52.4706145_13.4417252,08100417
52.587514_13.2853339,12200515
52.5426877_13.3761831,01300836
52.5415699_13.3531233,01401046
52.542169_13.3741752,01300836
52.5226306_13.4509141,02500726
52.5237491_13.4507961,02500726
52.5429908_13.3700829,01300836
52.4217236_13.3704503,07601237
52.5375235_13.4013397,01100416
52.5248933_13.4800899,11300620
52.5120892_13.4968299,11300725
52.4452836_13.4454241,08200727
52.5385236_13.4165117,03701555
52.4168874_13.4963783,08401243
52.4339053_13.3596915,06200316
52.4872914_13.4316592,08100312
52.5814637_13.4029105,03200206
52.5823668_13.4040219,03200207
52.5820291_13.4043113,03200207
52.5869646_13.4015307,03200205
52.4449396_13.5666894,09200819
52.414471_13.3644032,07601237
52.3912405_13.397806,07601544
52.5353892_13.433938,03701660
52.5189314_13.3425708,01200629
52.4767367_13.4385561,08100207
52.4995051_13.4184313,02300314
52.5010065_13.4167002,02300314
52.5032353_13.4126862,02100104
52.4996901_13.4224908,02300314
52.501761_13.4198923,02300314
52.570857_13.410568,03400723
52.5151724_13.4982769,11300725
52.5318974_13.1550112,05200423
52.5409609_13.348044,01401046
52.5409285_13.3479893,01401046
52.4372311_13.2369067,06400839
52.4922321_13.3235669,04501149
52.3929941_13.420424,07601545
52.5061907_13.4659535,02500834
52.4880635_13.3022079,04501146
52.4181125_13.4360268,08200832
52.5044921_13.4680671,02500834
52.4107871_13.2610248,06300525
52.4382765_13.2315014,06400838
52.4379488_13.2332901,06400839
52.545285_13.4478986,03601449
52.5455759_13.4411768,03601245
52.583122_13.405046,03200207
52.5180444_13.2788969,04200308
52.5167016_13.6089982,10400835
52.5287087_13.1921555,05200629
52.6139024_13.2394855,12400619
52.6133006_13.2324139,12400619
52.4969481_13.4198093,02300417
52.4330215_13.3935019,07501134
52.5100348_13.2867046,04300415
52.5179075_13.4494221,02400522
52.5169788_13.4388926,02400623
52.5194807_13.451848,02400522
52.5112738_13.4704979,02500832
52.546669_13.358232,01400942
52.5405531_13.3937649,01300835
52.5172624_13.1870436,05200633
52.5452105_13.3602486,01401047
52.5862471_13.4069502,03200207
52.5111524_13.3915255,01100207
52.5359247_13.1952216,05100316
52.5370906_13.2020913,05100316
52.4783004_13.3084154,04400830
52.4784025_13.3086171,04400830
52.5370175_13.4284632,03701658
52.4025572_13.5259192,09300922
52.5168731_13.5555206,10300731
52.5171066_13.4797687,11300722
52.4463118_13.4542758,08200726
52.5022101_13.303575,04500936
52.5202215_13.3371771,01200522
52.5101997_13.2812688,04200311
52.4838564_13.3831666,07400720
52.5463117_13.4106149,03601142
52.5463632_13.4110389,03601142
52.5977237_13.3556628,12601134
52.4715775_13.337615,07300618
52.5161748_13.4637562,02500728
52.5169173_13.5550064,10300731
52.5228489_13.5562288,10300731
52.5582365_13.4168349,03400827
52.4680535_13.3371328,07300618
52.5683827_13.4387523,03300516
52.4903784_13.3630872,07100206
52.5802334_13.3976274,03200206
52.5243978_13.3345637,01200522
52.4565169_13.5773996,09501939
52.5246155_13.3333874,01200521
52.4976513_13.3518464,07100102
52.435696_13.5464933,09200716
52.4313863_13.5366657,09200715
52.5182056_13.2899845,04300413
52.4968787_13.4327884,02300418
52.4910643_13.2929804,04400727
52.4729696_13.2903059,04400832
52.5652271_13.3225919,12200309
52.5275946_13.5385794,10100312
52.5276577_13.541783,10100312
52.526867_13.5423988,10100312
52.5422067_13.3421336,01400938
52.4660896_13.4697318,08100521
52.4666796_13.4315627,08100105
52.4236203_13.398078,07501134
52.5069836_13.3235233,04300624
52.4660249_13.3298707,07300618
52.546799_13.3542923,01400942
52.5086806_13.6135579,10400939
52.4017164_13.5631936,09301024
52.4894099_13.3940018,02200211
52.5055708_13.3238505,04300624
52.5235386_13.4050443,01100309
52.4370295_13.3454693,06200313
52.4462632_13.3166159,06300630
52.4998804_13.3920709,02100102
52.5192331_13.3890912,01100206
52.5872625_13.2852657,12200515
52.5355457_13.2676267,05300841
52.5098315_13.461891,02500833
52.55003_13.45803,03500935
52.3858628_13.3986527,07601544
52.49095_13.3765126,02200209
52.4852782_13.4340485,08100312
52.4433021_13.2959457,06300634
52.4921303_13.4576505,09100101
52.4889734_13.4029214,02200211
52.5212411_13.5839234,10200629
52.5212123_13.5837717,10200629
52.5213832_13.5847957,10200629
52.5930853_13.4579767,03300514
52.4373484_13.7206689,09501838
52.4695358_13.4374864,08100208
52.51747_13.3182709,04300622
52.5023031_13.3216325,04501041
52.4886219_13.3197266,04501147
52.4502045_13.6249039,09501737
52.5356109_13.4349571,03601451
52.4915935_13.3171517,04501044
52.4276113_13.303598,06300632
52.5203803_13.3022936,04300619
52.4855613_13.2713109,04400728
52.4937665_13.3816391,02200208
52.4988867_13.4424881,02300419
52.5465805_13.3660608,01401043
52.453411_13.4378787,08200624
52.5585308_13.4129533,03400826
52.5165273_13.2582009,04200309
52.4806718_13.4228778,08100101
52.4802426_13.4282316,08100206
52.5346521_13.397816,01100415
52.4239174_13.4367135,08200730
52.4180859_13.4360267,08200832
52.5235074_13.1967364,05200630
52.5235147_13.196782,05200630
52.5211691_13.1968754,05200630
52.5190597_13.1975813,05200630
52.5194886_13.4535089,02500726
52.6017514_13.4707937,03300412
52.5934018_13.4552707,03300514
52.566996_13.329382,12100205
52.4580723_13.3733839,07400823
52.5078344_13.2993013,04300416
52.5673426_13.3621398,12100204
52.5801379_13.3936044,03200206
52.5798272_13.3937317,03200206
52.4636588_13.1628154,05400942
52.5476902_13.4541602,03500936
52.4897355_13.4499694,09100101
52.4269252_13.3040974,06300632
52.4324375_13.3356428,06200314
52.4917197_13.31964,04501147
52.5010071_13.3127763,04501040
52.4806293_13.4352527,08100206
52.5470927_13.497572,11200411
52.4946996_13.3415914,07100101
52.4684368_13.3860031,07400927
52.5098605_13.5033924,11400931
52.4515851_13.2702105,06400842
52.5423577_13.3399136,01400938
52.6162986_13.4854052,03300411
52.6163173_13.4854599,03300411
52.5297891_13.6188319,10200525
52.4429227_13.2955744,06300634
52.5720826_13.5172722,11100205
52.521081_13.2771878,04200308
52.5195937_13.3880946,01100206
52.5036378_13.3229057,04501041
52.4582018_13.2923122,06400844
52.550339_13.4143365,03601243
52.4921791_13.4455574,09100101
52.4979867_13.3492605,07100102
52.5372942_13.4187921,03701555
52.399065_13.555417,09301025
52.4118944_13.5736892,09301126
52.4102683_13.5707178,09301024
52.4001667_13.5724597,09301025
52.4924874_13.3512088,07100204
52.5051351_13.4643013,02500834
52.464035_13.3852943,07400824
52.5021408_13.3209674,04501041
52.5122902_13.4478409,02400624
52.5320884_13.4137427,03701556
52.5370914_13.4237067,03701658
52.5036468_13.3344495,04501042
52.5492327_13.4125742,03601142
52.5049669_13.4965732,11400929
52.5052556_13.500017,11400929
52.5273323_13.5073263,11300721
52.5416564_13.3441103,01400938
52.5428949_13.3431514,01400938
52.5423062_13.3432665,01400938
52.5430058_13.3444227,01400938
52.5424141_13.3450472,01400938
52.5426941_13.3413768,01400938
52.4880066_13.5745955,10400837
52.4579411_13.3183029,06100102
52.4849579_13.3523402,07200409
52.4981412_13.3242377,04501044
52.4596715_13.5798627,09502043
52.5418894_13.4180473,03601347
52.4995423_13.3482682,07100102
52.4988705_13.3479676,07100102
52.4994192_13.3522273,07100102
52.4994061_13.393034,02100102
52.5609898_13.3687204,12100101
52.5609369_13.3687579,12100101
52.5608888_13.3687668,12100101
52.5609105_13.3688459,12100101
52.5609567_13.3686897,12100101
52.5196684_13.453657,02500726
52.4941749_13.4560788,09100101
52.4596524_13.5798986,09502043
52.46001_13.5800576,09502043
52.4599774_13.580026,09502043
52.463474_13.5177037,09200511
52.4622663_13.5153648,09200511
52.4642914_13.5162162,09200511
52.5908174_13.3343759,12500926
52.5083432_13.4802655,11300826
52.499653_13.3066061,04500938
52.5515505_13.4408967,03500934
52.4751238_13.3392816,07300517
52.4565781_13.5116762,09200613
52.4415612_13.2985776,06300633
52.4758177_13.4266526,08100103
52.5328643_13.4122153,03701554
52.4892539_13.452381,09100101
52.5288742_13.414305,03701556
52.5234437_13.4461107,02400522
52.4651829_13.3305102,06100103
52.4351925_13.5436805,09200716
52.4363935_13.5443334,09200716
52.4362705_13.5442948,09200716
52.5157941_13.4596096,02500727
52.6327246_13.2912188,12400721
52.6331332_13.2906335,12400721
52.450703_13.3845305,07501030
52.4294092_13.4699872,08300934
52.5158979_13.2878042,04300413
52.5024364_13.3229046,04501041
52.5195584_13.3880736,01100206
52.5682358_13.3623638,12100103
52.5706968_13.3298959,12200307
52.518448_13.4630156,02500728
52.4869608_13.2614101,04400729
52.4645225_13.4889389,09100304
52.4258758_13.3340878,06200314
52.5405574_13.6188162,10200423
52.4984196_13.316643,04501043
52.5159575_13.2606877,04200310
52.5413285_13.2032115,05100315
52.5414633_13.2044599,05100315
52.5163874_13.4453038,02400624
52.5167018_13.4420426,02400624
52.5325455_13.1557157,05200423
52.4284422_13.3282532,06200422
52.5352235_13.4031188,01100416
52.4207134_13.5381838,09300920
52.5127582_13.4716193,02500832
52.4111261_13.6632348,09401635
52.4124503_13.6605932,09401635
52.4123827_13.6623192,09401635
52.457974_13.3184385,06100102
52.5525327_13.4061332,03601141
52.4488685_13.315035,06300633
52.5031761_13.3429064,07100101
